"V1","bird","sex","tissue","treatment","group","study","sextissue","samples","hiloPRL","external"
"g144.r54.x_female_gonad_m.inc.d3","g144.r54.x","female","gonads","m.inc.d3","female.gonads.m.inc.d3","manipulation","female_gonads","g144.r54.x_female_gonad_m.inc.d3","lo","nest"
"g144.r54.x_female_hypothalamus_m.inc.d3","g144.r54.x","female","hypothalamus","m.inc.d3","female.hypothalamus.m.inc.d3","manipulation","female_hypothalamus","g144.r54.x_female_hypothalamus_m.inc.d3","lo","nest"
"g144.r54.x_female_pituitary_m.inc.d3","g144.r54.x","female","pituitary","m.inc.d3","female.pituitary.m.inc.d3","manipulation","female_pituitary","g144.r54.x_female_pituitary_m.inc.d3","lo","nest"
"g146.blu51_male_gonad_inc.d3","g146.blu51","male","gonads","inc.d3","male.gonads.inc.d3","charcterization","male_gonads","g146.blu51_male_gonad_inc.d3","lo","eggs"
"g146.blu51_male_hypothalamus_inc.d3.NYNO","g146.blu51","male","hypothalamus","inc.d3","male.hypothalamus.inc.d3","charcterization","male_hypothalamus","g146.blu51_male_hypothalamus_inc.d3.NYNO","lo","eggs"
"g146.blu51_male_pituitary_inc.d3","g146.blu51","male","pituitary","inc.d3","male.pituitary.inc.d3","charcterization","male_pituitary","g146.blu51_male_pituitary_inc.d3","lo","eggs"
"g17.w108.x_female_gonad_extend","g17.w108.x","female","gonads","extend","female.gonads.extend","manipulation","female_gonads","g17.w108.x_female_gonad_extend","hi","chicks"
"g17.w108.x_female_hypothalamus_extend","g17.w108.x","female","hypothalamus","extend","female.hypothalamus.extend","manipulation","female_hypothalamus","g17.w108.x_female_hypothalamus_extend","hi","chicks"
"g17.w108.x_female_pituitary_extend","g17.w108.x","female","pituitary","extend","female.pituitary.extend","manipulation","female_pituitary","g17.w108.x_female_pituitary_extend","hi","chicks"
"g20.w106.x_male_gonad_inc.d3","g20.w106.x","male","gonads","inc.d3","male.gonads.inc.d3","charcterization","male_gonads","g20.w106.x_male_gonad_inc.d3","lo","eggs"
"g20.w106.x_male_hypothalamus_inc.d3","g20.w106.x","male","hypothalamus","inc.d3","male.hypothalamus.inc.d3","charcterization","male_hypothalamus","g20.w106.x_male_hypothalamus_inc.d3","lo","eggs"
"g20.w106.x_male_pituitary_inc.d3","g20.w106.x","male","pituitary","inc.d3","male.pituitary.inc.d3","charcterization","male_pituitary","g20.w106.x_male_pituitary_inc.d3","lo","eggs"
"g22.blu118_female_gonad_extend","g22.blu118","female","gonads","extend","female.gonads.extend","manipulation","female_gonads","g22.blu118_female_gonad_extend","hi","chicks"
"g22.blu118_female_hypothalamus_extend","g22.blu118","female","hypothalamus","extend","female.hypothalamus.extend","manipulation","female_hypothalamus","g22.blu118_female_hypothalamus_extend","hi","chicks"
"g22.blu118_female_pituitary_extend","g22.blu118","female","pituitary","extend","female.pituitary.extend","manipulation","female_pituitary","g22.blu118_female_pituitary_extend","hi","chicks"
"g3.g119.w20_male_gonad_extend","g3.g119.w20","male","gonads","extend","male.gonads.extend","manipulation","male_gonads","g3.g119.w20_male_gonad_extend","hi","chicks"
"g3.g119.w20_male_hypothalamus_extend","g3.g119.w20","male","hypothalamus","extend","male.hypothalamus.extend","manipulation","male_hypothalamus","g3.g119.w20_male_hypothalamus_extend","hi","chicks"
"g3.g119.w20_male_pituitary_extend","g3.g119.w20","male","pituitary","extend","male.pituitary.extend","manipulation","male_pituitary","g3.g119.w20_male_pituitary_extend","hi","chicks"
"g32.blu79_male_gonad_m.inc.d17","g32.blu79","male","gonads","m.inc.d17","male.gonads.m.inc.d17","manipulation","male_gonads","g32.blu79_male_gonad_m.inc.d17","hi","nest"
"g32.blu79_male_hypothalamus_m.inc.d17","g32.blu79","male","hypothalamus","m.inc.d17","male.hypothalamus.m.inc.d17","manipulation","male_hypothalamus","g32.blu79_male_hypothalamus_m.inc.d17","hi","nest"
"g32.blu79_male_pituitary_m.inc.d17","g32.blu79","male","pituitary","m.inc.d17","male.pituitary.m.inc.d17","manipulation","male_pituitary","g32.blu79_male_pituitary_m.inc.d17","hi","nest"
"g34.x_male_gonad_m.hatch.NYNO","g34.x","male","gonads","m.n2","male.gonads.m.n2","manipulation","male_gonads","g34.x_male_gonad_m.hatch.NYNO","hi","nest"
"g34.x_male_hypothalamus_m.hatch","g34.x","male","hypothalamus","m.n2","male.hypothalamus.m.n2","manipulation","male_hypothalamus","g34.x_male_hypothalamus_m.hatch","hi","nest"
"g34.x_male_pituitary_m.hatch","g34.x","male","pituitary","m.n2","male.pituitary.m.n2","manipulation","male_pituitary","g34.x_male_pituitary_m.hatch","hi","nest"
"g38.x_male_gonad_inc.prolong","g38.x","male","gonads","prolong","male.gonads.prolong","manipulation","male_gonads","g38.x_male_gonad_inc.prolong","hi","eggs"
"g38.x_male_hypothalamus_inc.prolong","g38.x","male","hypothalamus","prolong","male.hypothalamus.prolong","manipulation","male_hypothalamus","g38.x_male_hypothalamus_inc.prolong","hi","eggs"
"g38.x_male_pituitary_inc.prolong","g38.x","male","pituitary","prolong","male.pituitary.prolong","manipulation","male_pituitary","g38.x_male_pituitary_inc.prolong","hi","eggs"
"g52.blu58_male_gonad_bldg","g52.blu58","male","gonads","bldg","male.gonads.bldg","charcterization","male_gonads","g52.blu58_male_gonad_bldg","lo","nest"
"g52.blu58_male_hypothalamus_bldg","g52.blu58","male","hypothalamus","bldg","male.hypothalamus.bldg","charcterization","male_hypothalamus","g52.blu58_male_hypothalamus_bldg","lo","nest"
"g52.blu58_male_pituitary_bldg","g52.blu58","male","pituitary","bldg","male.pituitary.bldg","charcterization","male_pituitary","g52.blu58_male_pituitary_bldg","lo","nest"
"g53.y84_male_gonad_hatch","g53.y84","male","gonads","hatch","male.gonads.hatch","charcterization","male_gonads","g53.y84_male_gonad_hatch","hi","chicks"
"g53.y84_male_hypothalamus_hatch","g53.y84","male","hypothalamus","hatch","male.hypothalamus.hatch","charcterization","male_hypothalamus","g53.y84_male_hypothalamus_hatch","hi","chicks"
"g53.y84_male_pituitary_hatch","g53.y84","male","pituitary","hatch","male.pituitary.hatch","charcterization","male_pituitary","g53.y84_male_pituitary_hatch","hi","chicks"
"g6.w197.x_female_gonad_inc.d3","g6.w197.x","female","gonads","inc.d3","female.gonads.inc.d3","charcterization","female_gonads","g6.w197.x_female_gonad_inc.d3","lo","eggs"
"g6.w197.x_female_hypothalamus_inc.d3","g6.w197.x","female","hypothalamus","inc.d3","female.hypothalamus.inc.d3","charcterization","female_hypothalamus","g6.w197.x_female_hypothalamus_inc.d3","lo","eggs"
"g6.w197.x_female_pituitary_inc.d3","g6.w197.x","female","pituitary","inc.d3","female.pituitary.inc.d3","charcterization","female_pituitary","g6.w197.x_female_pituitary_inc.d3","lo","eggs"
"g63.blu65_female_gonad_m.inc.d17","g63.blu65","female","gonads","m.inc.d17","female.gonads.m.inc.d17","manipulation","female_gonads","g63.blu65_female_gonad_m.inc.d17","hi","nest"
"g63.blu65_female_hypothalamus_m.inc.d17","g63.blu65","female","hypothalamus","m.inc.d17","female.hypothalamus.m.inc.d17","manipulation","female_hypothalamus","g63.blu65_female_hypothalamus_m.inc.d17","hi","nest"
"g63.blu65_female_pituitary_m.inc.d17","g63.blu65","female","pituitary","m.inc.d17","female.pituitary.m.inc.d17","manipulation","female_pituitary","g63.blu65_female_pituitary_m.inc.d17","hi","nest"
"g73.x_female_gonad_m.inc.d9","g73.x","female","gonads","m.inc.d9","female.gonads.m.inc.d9","manipulation","female_gonads","g73.x_female_gonad_m.inc.d9","lo","nest"
"g73.x_female_hypothalamus_m.inc.d9","g73.x","female","hypothalamus","m.inc.d9","female.hypothalamus.m.inc.d9","manipulation","female_hypothalamus","g73.x_female_hypothalamus_m.inc.d9","lo","nest"
"g73.x_female_pituitary_m.inc.d9","g73.x","female","pituitary","m.inc.d9","female.pituitary.m.inc.d9","manipulation","female_pituitary","g73.x_female_pituitary_m.inc.d9","lo","nest"
"g75.x_female_gonad_inc.d9","g75.x","female","gonads","inc.d9","female.gonads.inc.d9","charcterization","female_gonads","g75.x_female_gonad_inc.d9","lo","eggs"
"g75.x_female_hypothalamus_inc.d9","g75.x","female","hypothalamus","inc.d9","female.hypothalamus.inc.d9","charcterization","female_hypothalamus","g75.x_female_hypothalamus_inc.d9","lo","eggs"
"g75.x_female_pituitary_inc.d9","g75.x","female","pituitary","inc.d9","female.pituitary.inc.d9","charcterization","female_pituitary","g75.x_female_pituitary_inc.d9","lo","eggs"
"g8.y197_male_gonad_extend","g8.y197","male","gonads","extend","male.gonads.extend","manipulation","male_gonads","g8.y197_male_gonad_extend","hi","chicks"
"g8.y197_male_hypothalamus_extend","g8.y197","male","hypothalamus","extend","male.hypothalamus.extend","manipulation","male_hypothalamus","g8.y197_male_hypothalamus_extend","hi","chicks"
"g8.y197_male_pituitary_extend","g8.y197","male","pituitary","extend","male.pituitary.extend","manipulation","male_pituitary","g8.y197_male_pituitary_extend","hi","chicks"
"l.s.o.blk_male_gonad_extend","l.s.o.blk","male","gonads","extend","male.gonads.extend","manipulation","male_gonads","l.s.o.blk_male_gonad_extend","hi","chicks"
"l.s.o.blk_male_hypothalamus_extend","l.s.o.blk","male","hypothalamus","extend","male.hypothalamus.extend","manipulation","male_hypothalamus","l.s.o.blk_male_hypothalamus_extend","hi","chicks"
"l.s.o.blk_male_pituitary_extend","l.s.o.blk","male","pituitary","extend","male.pituitary.extend","manipulation","male_pituitary","l.s.o.blk_male_pituitary_extend","hi","chicks"
"l.s.w.d_female_gonad_m.hatch","l.s.w.d","female","gonads","m.n2","female.gonads.m.n2","manipulation","female_gonads","l.s.w.d_female_gonad_m.hatch","hi","nest"
"l.s.w.d_female_hypothalamus_m.hatch","l.s.w.d","female","hypothalamus","m.n2","female.hypothalamus.m.n2","manipulation","female_hypothalamus","l.s.w.d_female_hypothalamus_m.hatch","hi","nest"
"l.s.w.d_female_pituitary_m.hatch","l.s.w.d","female","pituitary","m.n2","female.pituitary.m.n2","manipulation","female_pituitary","l.s.w.d_female_pituitary_m.hatch","hi","nest"
"l.s024.y.g_male_gonad_m.inc.d17","l.s024.y.g","male","gonads","m.inc.d17","male.gonads.m.inc.d17","manipulation","male_gonads","l.s024.y.g_male_gonad_m.inc.d17","hi","nest"
"l.s024.y.g_male_hypothalamus_m.inc.d17","l.s024.y.g","male","hypothalamus","m.inc.d17","male.hypothalamus.m.inc.d17","manipulation","male_hypothalamus","l.s024.y.g_male_hypothalamus_m.inc.d17","hi","nest"
"l.s024.y.g_male_pituitary_m.inc.d17","l.s024.y.g","male","pituitary","m.inc.d17","male.pituitary.m.inc.d17","manipulation","male_pituitary","l.s024.y.g_male_pituitary_m.inc.d17","hi","nest"
"l.s052.pk.r_female_gonad_prolong","l.s052.pk.r","female","gonads","prolong","female.gonads.prolong","manipulation","female_gonads","l.s052.pk.r_female_gonad_prolong","hi","eggs"
"l.s052.pk.r_female_hypothalamus_prolong","l.s052.pk.r","female","hypothalamus","prolong","female.hypothalamus.prolong","manipulation","female_hypothalamus","l.s052.pk.r_female_hypothalamus_prolong","hi","eggs"
"l.s052.pk.r_female_pituitary_prolong","l.s052.pk.r","female","pituitary","prolong","female.pituitary.prolong","manipulation","female_pituitary","l.s052.pk.r_female_pituitary_prolong","hi","eggs"
"l.s080.blk.r_male_gonad_prolong","l.s080.blk.r","male","gonads","prolong","male.gonads.prolong","manipulation","male_gonads","l.s080.blk.r_male_gonad_prolong","lo","eggs"
"l.s080.blk.r_male_hypothalamus_prolong","l.s080.blk.r","male","hypothalamus","prolong","male.hypothalamus.prolong","manipulation","male_hypothalamus","l.s080.blk.r_male_hypothalamus_prolong","lo","eggs"
"l.s080.blk.r_male_pituitary_prolong","l.s080.blk.r","male","pituitary","prolong","male.pituitary.prolong","manipulation","male_pituitary","l.s080.blk.r_male_pituitary_prolong","lo","eggs"
"l.s120.y.blk_female_gonad_bldg","l.s120.y.blk","female","gonads","bldg","female.gonads.bldg","charcterization","female_gonads","l.s120.y.blk_female_gonad_bldg","lo","nest"
"l.s120.y.blk_female_hypothalamus_bldg","l.s120.y.blk","female","hypothalamus","bldg","female.hypothalamus.bldg","charcterization","female_hypothalamus","l.s120.y.blk_female_hypothalamus_bldg","lo","nest"
"l.s120.y.blk_female_pituitary_bldg","l.s120.y.blk","female","pituitary","bldg","female.pituitary.bldg","charcterization","female_pituitary","l.s120.y.blk_female_pituitary_bldg","lo","nest"
"l.s166.o.w_female_gonad_prolong","l.s166.o.w","female","gonads","prolong","female.gonads.prolong","manipulation","female_gonads","l.s166.o.w_female_gonad_prolong","hi","eggs"
"l.s166.o.w_female_hypothalamus_prolong","l.s166.o.w","female","hypothalamus","prolong","female.hypothalamus.prolong","manipulation","female_hypothalamus","l.s166.o.w_female_hypothalamus_prolong","hi","eggs"
"l.s166.o.w_female_pituitary_prolong","l.s166.o.w","female","pituitary","prolong","female.pituitary.prolong","manipulation","female_pituitary","l.s166.o.w_female_pituitary_prolong","hi","eggs"
"l.s280.g.blk_male_gonad_m.inc.d9","l.s280.g.blk","male","gonads","m.inc.d9","male.gonads.m.inc.d9","manipulation","male_gonads","l.s280.g.blk_male_gonad_m.inc.d9","lo","nest"
"l.s280.g.blk_male_hypothalamus_m.inc.d9","l.s280.g.blk","male","hypothalamus","m.inc.d9","male.hypothalamus.m.inc.d9","manipulation","male_hypothalamus","l.s280.g.blk_male_hypothalamus_m.inc.d9","lo","nest"
"l.s280.g.blk_male_pituitary_m.inc.d9","l.s280.g.blk","male","pituitary","m.inc.d9","male.pituitary.m.inc.d9","manipulation","male_pituitary","l.s280.g.blk_male_pituitary_m.inc.d9","lo","nest"
"o.d.s009_male_gonad_m.inc.d9","o.d.s009","male","gonads","m.inc.d9","male.gonads.m.inc.d9","manipulation","male_gonads","o.d.s009_male_gonad_m.inc.d9","lo","nest"
"o.d.s009_male_hypothalamus_m.inc.d9.NYNO","o.d.s009","male","hypothalamus","m.inc.d9","male.hypothalamus.m.inc.d9","manipulation","male_hypothalamus","o.d.s009_male_hypothalamus_m.inc.d9.NYNO","lo","nest"
"o.d.s009_male_pituitary_m.inc.d9","o.d.s009","male","pituitary","m.inc.d9","male.pituitary.m.inc.d9","manipulation","male_pituitary","o.d.s009_male_pituitary_m.inc.d9","lo","nest"
"o.s.w.r_male_gonad_lay","o.s.w.r","male","gonads","lay","male.gonads.lay","charcterization","male_gonads","o.s.w.r_male_gonad_lay","lo","eggs"
"o.s.w.r_male_hypothalamus_lay","o.s.w.r","male","hypothalamus","lay","male.hypothalamus.lay","charcterization","male_hypothalamus","o.s.w.r_male_hypothalamus_lay","lo","eggs"
"o.s.w.r_male_pituitary_lay","o.s.w.r","male","pituitary","lay","male.pituitary.lay","charcterization","male_pituitary","o.s.w.r_male_pituitary_lay","lo","eggs"
"o.s010.r.blk_male_gonad_m.inc.d3","o.s010.r.blk","male","gonads","m.inc.d3","male.gonads.m.inc.d3","manipulation","male_gonads","o.s010.r.blk_male_gonad_m.inc.d3","lo","nest"
"o.s010.r.blk_male_hypothalamus_m.inc.d3","o.s010.r.blk","male","hypothalamus","m.inc.d3","male.hypothalamus.m.inc.d3","manipulation","male_hypothalamus","o.s010.r.blk_male_hypothalamus_m.inc.d3","lo","nest"
"o.s010.r.blk_male_pituitary_m.inc.d3","o.s010.r.blk","male","pituitary","m.inc.d3","male.pituitary.m.inc.d3","manipulation","male_pituitary","o.s010.r.blk_male_pituitary_m.inc.d3","lo","nest"
"o.s084.w.blk_female_gonad_m.inc.d17","o.s084.w.blk","female","gonads","m.inc.d17","female.gonads.m.inc.d17","manipulation","female_gonads","o.s084.w.blk_female_gonad_m.inc.d17","hi","nest"
"o.s084.w.blk_female_hypothalamus_m.inc.d17","o.s084.w.blk","female","hypothalamus","m.inc.d17","female.hypothalamus.m.inc.d17","manipulation","female_hypothalamus","o.s084.w.blk_female_hypothalamus_m.inc.d17","hi","nest"
"o.s084.w.blk_female_pituitary_m.inc.d17","o.s084.w.blk","female","pituitary","m.inc.d17","female.pituitary.m.inc.d17","manipulation","female_pituitary","o.s084.w.blk_female_pituitary_m.inc.d17","hi","nest"
"o114.blu9_male_gonad_inc.prolong","o114.blu9","male","gonads","prolong","male.gonads.prolong","manipulation","male_gonads","o114.blu9_male_gonad_inc.prolong","hi","eggs"
"o114.blu9_male_hypothalamus_inc.prolong","o114.blu9","male","hypothalamus","prolong","male.hypothalamus.prolong","manipulation","male_hypothalamus","o114.blu9_male_hypothalamus_inc.prolong","hi","eggs"
"o114.blu9_male_pituitary_inc.prolong","o114.blu9","male","pituitary","prolong","male.pituitary.prolong","manipulation","male_pituitary","o114.blu9_male_pituitary_inc.prolong","hi","eggs"
"o152.o120.w42_male_gonad_n5","o152.o120.w42","male","gonads","n5","male.gonads.n5","charcterization","male_gonads","o152.o120.w42_male_gonad_n5","hi","chicks"
"o152.o120.w42_male_hypothalamus_n5","o152.o120.w42","male","hypothalamus","n5","male.hypothalamus.n5","charcterization","male_hypothalamus","o152.o120.w42_male_hypothalamus_n5","hi","chicks"
"o152.o120.w42_male_pituitary_n5","o152.o120.w42","male","pituitary","n5","male.pituitary.n5","charcterization","male_pituitary","o152.o120.w42_male_pituitary_n5","hi","chicks"
"o156.w80.x_female_gonad_inc.d3","o156.w80.x","female","gonads","inc.d3","female.gonads.inc.d3","charcterization","female_gonads","o156.w80.x_female_gonad_inc.d3","lo","eggs"
"o156.w80.x_female_hypothalamus_inc.d3","o156.w80.x","female","hypothalamus","inc.d3","female.hypothalamus.inc.d3","charcterization","female_hypothalamus","o156.w80.x_female_hypothalamus_inc.d3","lo","eggs"
"o156.w80.x_female_pituitary_inc.d3","o156.w80.x","female","pituitary","inc.d3","female.pituitary.inc.d3","charcterization","female_pituitary","o156.w80.x_female_pituitary_inc.d3","lo","eggs"
"o165.w122.x_female_gonad_inc.d3.NYNO","o165.w122.x","female","gonads","inc.d3","female.gonads.inc.d3","charcterization","female_gonads","o165.w122.x_female_gonad_inc.d3.NYNO","lo","eggs"
"o165.w122.x_female_hypothalamus_inc.d3","o165.w122.x","female","hypothalamus","inc.d3","female.hypothalamus.inc.d3","charcterization","female_hypothalamus","o165.w122.x_female_hypothalamus_inc.d3","lo","eggs"
"o165.w122.x_female_pituitary_inc.d3.NYNO","o165.w122.x","female","pituitary","inc.d3","female.pituitary.inc.d3","charcterization","female_pituitary","o165.w122.x_female_pituitary_inc.d3.NYNO","lo","eggs"
"o169.r28.x_female_gonad_m.inc.d17","o169.r28.x","female","gonads","m.inc.d17","female.gonads.m.inc.d17","manipulation","female_gonads","o169.r28.x_female_gonad_m.inc.d17","hi","nest"
"o169.r28.x_female_hypothalamus_m.inc.d17","o169.r28.x","female","hypothalamus","m.inc.d17","female.hypothalamus.m.inc.d17","manipulation","female_hypothalamus","o169.r28.x_female_hypothalamus_m.inc.d17","hi","nest"
"o169.r28.x_female_pituitary_m.inc.d17","o169.r28.x","female","pituitary","m.inc.d17","female.pituitary.m.inc.d17","manipulation","female_pituitary","o169.r28.x_female_pituitary_m.inc.d17","hi","nest"
"o172.w115.x_female_gonad_hatch","o172.w115.x","female","gonads","hatch","female.gonads.hatch","charcterization","female_gonads","o172.w115.x_female_gonad_hatch","hi","chicks"
"o172.w115.x_female_hypothalamus_hatch","o172.w115.x","female","hypothalamus","hatch","female.hypothalamus.hatch","charcterization","female_hypothalamus","o172.w115.x_female_hypothalamus_hatch","hi","chicks"
"o172.w115.x_female_pituitary_hatch.NYNO","o172.w115.x","female","pituitary","hatch","female.pituitary.hatch","charcterization","female_pituitary","o172.w115.x_female_pituitary_hatch.NYNO","hi","chicks"
"o173.w179.x_female_gonad_inc.d3","o173.w179.x","female","gonads","inc.d3","female.gonads.inc.d3","charcterization","female_gonads","o173.w179.x_female_gonad_inc.d3","lo","eggs"
"o173.w179.x_female_hypothalamus_inc.d3","o173.w179.x","female","hypothalamus","inc.d3","female.hypothalamus.inc.d3","charcterization","female_hypothalamus","o173.w179.x_female_hypothalamus_inc.d3","lo","eggs"
"o173.w179.x_female_pituitary_inc.d3","o173.w179.x","female","pituitary","inc.d3","female.pituitary.inc.d3","charcterization","female_pituitary","o173.w179.x_female_pituitary_inc.d3","lo","eggs"
"o3.x_male_gonad_m.n2","o3.x","male","gonads","m.n2","male.gonads.m.n2","manipulation","male_gonads","o3.x_male_gonad_m.n2","hi","nest"
"o3.x_male_hypothalamus_m.n2","o3.x","male","hypothalamus","m.n2","male.hypothalamus.m.n2","manipulation","male_hypothalamus","o3.x_male_hypothalamus_m.n2","hi","nest"
"o3.x_male_pituitary_m.n2","o3.x","male","pituitary","m.n2","male.pituitary.m.n2","manipulation","male_pituitary","o3.x_male_pituitary_m.n2","hi","nest"
"o35.r51.x_female_gonad_inc.d17","o35.r51.x","female","gonads","inc.d17","female.gonads.inc.d17","charcterization","female_gonads","o35.r51.x_female_gonad_inc.d17","hi","eggs"
"o35.r51.x_female_hypothalamus_inc.d17","o35.r51.x","female","hypothalamus","inc.d17","female.hypothalamus.inc.d17","charcterization","female_hypothalamus","o35.r51.x_female_hypothalamus_inc.d17","hi","eggs"
"o35.r51.x_female_pituitary_inc.d17","o35.r51.x","female","pituitary","inc.d17","female.pituitary.inc.d17","charcterization","female_pituitary","o35.r51.x_female_pituitary_inc.d17","hi","eggs"
"o36.r62.x_female_gonad_m.inc.d9","o36.r62.x","female","gonads","m.inc.d9","female.gonads.m.inc.d9","manipulation","female_gonads","o36.r62.x_female_gonad_m.inc.d9","lo","nest"
"o36.r62.x_female_hypothalamus_m.inc.d9","o36.r62.x","female","hypothalamus","m.inc.d9","female.hypothalamus.m.inc.d9","manipulation","female_hypothalamus","o36.r62.x_female_hypothalamus_m.inc.d9","lo","nest"
"o36.r62.x_female_pituitary_m.inc.d9","o36.r62.x","female","pituitary","m.inc.d9","female.pituitary.m.inc.d9","manipulation","female_pituitary","o36.r62.x_female_pituitary_m.inc.d9","lo","nest"
"o38.blu29.x_female_gonad_bldg","o38.blu29.x","female","gonads","bldg","female.gonads.bldg","charcterization","female_gonads","o38.blu29.x_female_gonad_bldg","lo","nest"
"o38.blu29.x_female_hypothalamus_bldg","o38.blu29.x","female","hypothalamus","bldg","female.hypothalamus.bldg","charcterization","female_hypothalamus","o38.blu29.x_female_hypothalamus_bldg","lo","nest"
"o38.blu29.x_female_pituitary_bldg","o38.blu29.x","female","pituitary","bldg","female.pituitary.bldg","charcterization","female_pituitary","o38.blu29.x_female_pituitary_bldg","lo","nest"
"o39.y77.x_male_gonad_hatch","o39.y77.x","male","gonads","hatch","male.gonads.hatch","charcterization","male_gonads","o39.y77.x_male_gonad_hatch","hi","chicks"
"o39.y77.x_male_hypothalamus_hatch","o39.y77.x","male","hypothalamus","hatch","male.hypothalamus.hatch","charcterization","male_hypothalamus","o39.y77.x_male_hypothalamus_hatch","hi","chicks"
"o39.y77.x_male_pituitary_hatch","o39.y77.x","male","pituitary","hatch","male.pituitary.hatch","charcterization","male_pituitary","o39.y77.x_male_pituitary_hatch","hi","chicks"
"o44.blu26.x_male_gonad_hatch","o44.blu26.x","male","gonads","hatch","male.gonads.hatch","charcterization","male_gonads","o44.blu26.x_male_gonad_hatch","hi","chicks"
"o44.blu26.x_male_hypothalamus_hatch","o44.blu26.x","male","hypothalamus","hatch","male.hypothalamus.hatch","charcterization","male_hypothalamus","o44.blu26.x_male_hypothalamus_hatch","hi","chicks"
"o44.blu26.x_male_pituitary_hatch","o44.blu26.x","male","pituitary","hatch","male.pituitary.hatch","charcterization","male_pituitary","o44.blu26.x_male_pituitary_hatch","hi","chicks"
"o45.g128.x_female_gonad_m.inc.d9.NYNO","o45.g128.x","female","gonads","m.inc.d9","female.gonads.m.inc.d9","manipulation","female_gonads","o45.g128.x_female_gonad_m.inc.d9.NYNO","lo","nest"
"o45.g128.x_female_hypothalamus_m.inc.d9","o45.g128.x","female","hypothalamus","m.inc.d9","female.hypothalamus.m.inc.d9","manipulation","female_hypothalamus","o45.g128.x_female_hypothalamus_m.inc.d9","lo","nest"
"o45.g128.x_female_pituitary_m.inc.d9","o45.g128.x","female","pituitary","m.inc.d9","female.pituitary.m.inc.d9","manipulation","female_pituitary","o45.g128.x_female_pituitary_m.inc.d9","lo","nest"
"o48.r197.x_male_gonad_inc.d3","o48.r197.x","male","gonads","inc.d3","male.gonads.inc.d3","charcterization","male_gonads","o48.r197.x_male_gonad_inc.d3","lo","eggs"
"o48.r197.x_male_hypothalamus_inc.d3","o48.r197.x","male","hypothalamus","inc.d3","male.hypothalamus.inc.d3","charcterization","male_hypothalamus","o48.r197.x_male_hypothalamus_inc.d3","lo","eggs"
"o48.r197.x_male_pituitary_inc.d3","o48.r197.x","male","pituitary","inc.d3","male.pituitary.inc.d3","charcterization","male_pituitary","o48.r197.x_male_pituitary_inc.d3","lo","eggs"
"o49.x_male_gonad_inc.d9","o49.x","male","gonads","inc.d9","male.gonads.inc.d9","charcterization","male_gonads","o49.x_male_gonad_inc.d9","lo","eggs"
"o49.x_male_hypothalamus_inc.d9","o49.x","male","hypothalamus","inc.d9","male.hypothalamus.inc.d9","charcterization","male_hypothalamus","o49.x_male_hypothalamus_inc.d9","lo","eggs"
"o49.x_male_pituitary_inc.d9","o49.x","male","pituitary","inc.d9","male.pituitary.inc.d9","charcterization","male_pituitary","o49.x_male_pituitary_inc.d9","lo","eggs"
"o52.blu53_female_gonad_inc.d17","o52.blu53","female","gonads","inc.d17","female.gonads.inc.d17","charcterization","female_gonads","o52.blu53_female_gonad_inc.d17","hi","eggs"
"o52.blu53_female_hypothalamus_inc.d17","o52.blu53","female","hypothalamus","inc.d17","female.hypothalamus.inc.d17","charcterization","female_hypothalamus","o52.blu53_female_hypothalamus_inc.d17","hi","eggs"
"o52.blu53_female_pituitary_inc.d17","o52.blu53","female","pituitary","inc.d17","female.pituitary.inc.d17","charcterization","female_pituitary","o52.blu53_female_pituitary_inc.d17","hi","eggs"
"o57.g59_male_gonad_inc.d9","o57.g59","male","gonads","inc.d9","male.gonads.inc.d9","charcterization","male_gonads","o57.g59_male_gonad_inc.d9","lo","eggs"
"o57.g59_male_hypothalamus_inc.d9","o57.g59","male","hypothalamus","inc.d9","male.hypothalamus.inc.d9","charcterization","male_hypothalamus","o57.g59_male_hypothalamus_inc.d9","lo","eggs"
"o57.g59_male_pituitary_inc.d9","o57.g59","male","pituitary","inc.d9","male.pituitary.inc.d9","charcterization","male_pituitary","o57.g59_male_pituitary_inc.d9","lo","eggs"
"o59.blu64_male_gonad_m.inc.d17","o59.blu64","male","gonads","m.inc.d17","male.gonads.m.inc.d17","manipulation","male_gonads","o59.blu64_male_gonad_m.inc.d17","hi","nest"
"o59.blu64_male_hypothalamus_m.inc.d17","o59.blu64","male","hypothalamus","m.inc.d17","male.hypothalamus.m.inc.d17","manipulation","male_hypothalamus","o59.blu64_male_hypothalamus_m.inc.d17","hi","nest"
"o59.blu64_male_pituitary_m.inc.d17","o59.blu64","male","pituitary","m.inc.d17","male.pituitary.m.inc.d17","manipulation","male_pituitary","o59.blu64_male_pituitary_m.inc.d17","hi","nest"
"o73.x_female_gonad_inc.d9","o73.x","female","gonads","inc.d9","female.gonads.inc.d9","charcterization","female_gonads","o73.x_female_gonad_inc.d9","lo","eggs"
"o73.x_female_hypothalamus_inc.d9","o73.x","female","hypothalamus","inc.d9","female.hypothalamus.inc.d9","charcterization","female_hypothalamus","o73.x_female_hypothalamus_inc.d9","lo","eggs"
"o73.x_female_pituitary_inc.d9","o73.x","female","pituitary","inc.d9","female.pituitary.inc.d9","charcterization","female_pituitary","o73.x_female_pituitary_inc.d9","lo","eggs"
"p.g.blk.s040_female_gonad_m.inc.d8","p.g.blk.s040","female","gonads","early","female.gonads.early","charcterization","female_gonads","p.g.blk.s040_female_gonad_m.inc.d8","lo","chicks"
