"","gene","name"
"6886","GVINP2","GTPase, very large interferon inducible pseudogene 2"
"6887","GVQW1","GVQW motif containing 1"
"6888","GVQW3","GVQW motif containing 3"
"6889","GXYLT1P1","GXYLT1 pseudogene 1"
"6890","GXYLT1P2","GXYLT1 pseudogene 2"
"6891","GXYLT1P3","GXYLT1 pseudogene 3"
"6892","GXYLT1P4","GXYLT1 pseudogene 4"
"6893","GXYLT1P5","GXYLT1 pseudogene 5"
"6894","GXYLT1P6","GXYLT1 pseudogene 6"
"6895","GXYLT1P7","GXYLT1 pseudogene 7"
"6896","GYG1P1","glycogenin 1 pseudogene 1"
"6897","GYG1P2","glycogenin 1 pseudogene 2"
"6898","GYG1P3","glycogenin 1 pseudogene 3"
"6899","GYG2-AS1","GYG2 antisense RNA 1"
"6900","GYG2P1","glycogenin 2 pseudogene 1"
"6901","GYG2P2","glycogenin 2 pseudogene 2"
"6902","GYPA","glycophorin A (MNS blood group)"
"6903","GYPB","glycophorin B (MNS blood group)"
"6904","GYPE","glycophorin E (MNS blood group)"
"6905","GYS1","glycogen synthase 1"
"6906","GZF1","GDNF inducible zinc finger protein 1"
"6907","GZMA","granzyme A"
"6908","GZMAP1","granzyme A pseudogene 1"
"6909","GZMB","granzyme B"
"6910","GZMH","granzyme H"
"6911","GZMK","granzyme K"
"6912","GZMM","granzyme M"
"6913","H1-0","H1.0 linker histone"
"6914","H1-1","H1.1 linker histone, cluster member"
"6915","H1-2","H1.2 linker histone, cluster member"
"6916","H1-3","H1.3 linker histone, cluster member"
"6917","H1-4","H1.4 linker histone, cluster member"
"6918","H1-5","H1.5 linker histone, cluster member"
"6919","H1-6","H1.6 linker histone, cluster member"
"6920","H1-7","H1.7 linker histone"
"6921","H1-8","H1.8 linker histone"
"6922","H1-9P","H1.9 linker histone, pseudogene"
"6923","H1-10","H1.10 linker histone"
"6924","H1-10-AS1","H1-10 antisense RNA 1"
"6925","H1-12P","H1.12 linker histone, cluster member pseudogene"
"6926","H2AB1","H2A.B variant histone 1"
"6927","H2AB2","H2A.B variant histone 2"
"6928","H2AB3","H2A.B variant histone 3"
"6929","H2AC1","H2A clustered histone 1"
"6930","H2AC2P","H2A clustered histone 2, pseudogene"
"6931","H2AC3P","H2A clustered histone 3, pseudogene"
"6932","H2AC4","H2A clustered histone 4"
"6933","H2AC5P","H2A clustered histone 5, pseudogene"
"6934","H2AC6","H2A clustered histone 6"
"6935","H2AC7","H2A clustered histone 7"
"6936","H2AC8","H2A clustered histone 8"
"6937","H2AC9P","H2A clustered histone 9, pseudogene"
"6938","H2AC10P","H2A clustered histone 10, pseudogene"
"6939","H2AC11","H2A clustered histone 11"
"6940","H2AC12","H2A clustered histone 12"
"6941","H2AC13","H2A clustered histone 13"
"6942","H2AC14","H2A clustered histone 14"
"6943","H2AC15","H2A clustered histone 15"
"6944","H2AC16","H2A clustered histone 16"
"6945","H2AC17","H2A clustered histone 17"
"6946","H2AC18","H2A clustered histone 18"
"6947","H2AC19","H2A clustered histone 19"
"6948","H2AC20","H2A clustered histone 20"
"6949","H2AC21","H2A clustered histone 21"
"6950","H2ACP1","H2AC histone family pseudogene 1"
"6951","H2ACP2","H2AC histone family pseudogene 2"
"6952","H2AJ","H2A.J histone"
"6953","H2AL1QP","H2A.L variant histone Q, pseudogene"
"6954","H2AL1RP","H2A.L variant histone R, pseudogene"
"6955","H2AL1SP","H2A.L variant histone S, pseudogene"
"6956","H2AP","H2A.P histone"
"6957","H2AQ1P","H2A.Q variant histone 1, pseudogene"
"6958","H2AW","H2A.W histone"
"6959","H2AX","H2A.X variant histone"
"6960","H2AZ1","H2A.Z variant histone 1"
"6961","H2AZ1-DT","H2AZ1 divergent transcript"
"6962","H2AZ2","H2A.Z variant histone 2"
"6963","H2AZ2P1","H2AZ2 pseudogene 1"
"6964","H2AZP1","H2A.Z histone pseudogene 1"
"6965","H2AZP2","H2A.Z histone pseudogene 2"
"6966","H2AZP3","H2A.Z histone pseudogene 3"
"6967","H2AZP4","H2A.Z histone pseudogene 4"
"6968","H2AZP5","H2A.Z histone pseudogene 5"
"6969","H2AZP6","H2A.Z histone pseudogene 6"
"6970","H2AZP7","H2A.Z histone pseudogene 7"
"6971","H2BC1","H2B clustered histone 1"
"6972","H2BC2P","H2B clustered histone 2, pseudogene"
"6973","H2BC3","H2B clustered histone 3"
"6974","H2BC4","H2B clustered histone 4"
"6975","H2BC5","H2B clustered histone 5"
"6976","H2BC6","H2B clustered histone 6"
"6977","H2BC7","H2B clustered histone 7"
"6978","H2BC8","H2B clustered histone 8"
"6979","H2BC9","H2B clustered histone 9"
"6980","H2BC10","H2B clustered histone 10"
"6981","H2BC11","H2B clustered histone 11"
"6982","H2BC12","H2B clustered histone 12"
"6983","H2BC13","H2B clustered histone 13"
"6984","H2BC14","H2B clustered histone 14"
"6985","H2BC15","H2B clustered histone 15"
"6986","H2BC16P","H2B clustered histone 16, pseudogene"
"6987","H2BC17","H2B clustered histone 17"
"6988","H2BC18","H2B clustered histone 18"
"6989","H2BC19P","H2B clustered histone 19, pseudogene"
"6990","H2BC20P","H2B clustered histone 20, pseudogene"
"6991","H2BC21","H2B clustered histone 21"
"6992","H2BE1","H2B.E variant histone 1"
"6993","H2BL1P","H2B.L histone variant 1, pseudogene"
"6994","H2BP1","H2B histone pseudogene 1"
"6995","H2BP2","H2B histone pseudogene 2"
"6996","H2BP3","H2B histone pseudogene 3"
"6997","H2BP5","H2B histone pseudogene 5"
"6998","H2BP6","H2B histone pseudogene 6"
"6999","H2BP7","H2B histone pseudogene 7"
"7000","H2BP8","H2B histone pseudogene 8"
"7001","H2BP9","H2B histone pseudogene 9"
"7002","H2BS1","H2B.S histone 1"
"7003","H2BU1","H2B.U histone 1"
"7004","H2BU2P","H2B.U histone 2, pseudogene"
"7005","H2BW1","H2B.W histone 1"
"7006","H2BW2","H2B.W histone 2"
"7007","H2BW3P","H2B.W histone 3, pseudogene"
"7008","H2BW4P","H2B.W histone 4, pseudogene"
"7009","H3-2","H3.2 histone (putative)"
"7010","H3-3A","H3.3 histone A"
"7011","H3-3B","H3.3 histone B"
"7012","H3-4","H3.4 histone"
"7013","H3-5","H3.5 histone"
"7014","H3C1","H3 clustered histone 1"
"7015","H3C2","H3 clustered histone 2"
"7016","H3C3","H3 clustered histone 3"
"7017","H3C4","H3 clustered histone 4"
"7018","H3C5P","H3 clustered histone 5, pseudogene"
"7019","H3C6","H3 clustered histone 6"
"7020","H3C7","H3 clustered histone 7"
"7021","H3C8","H3 clustered histone 8"
"7022","H3C9P","H3 clustered histone 9, pseudogene"
"7023","H3C10","H3 clustered histone 10"
"7024","H3C11","H3 clustered histone 11"
"7025","H3C12","H3 clustered histone 12"
"7026","H3C13","H3 clustered histone 13"
"7027","H3C14","H3 clustered histone 14"
"7028","H3C15","H3 clustered histone 15"
"7029","H3P1","H3 histone pseudogene 1"
"7030","H3P2","H3 histone pseudogene 2"
"7031","H3P3","H3 histone pseudogene 3"
"7032","H3P4","H3 histone pseudogene 4"
"7033","H3P5","H3 histone pseudogene 5"
"7034","H3P6","H3 histone pseudogene 6"
"7035","H3P7","H3 histone pseudogene 7"
"7036","H3P8","H3 histone pseudogene 8"
"7037","H3P9","H3 histone pseudogene 9"
"7038","H3P10","H3 histone pseudogene 10"
"7039","H3P11","H3 histone pseudogene 11"
"7040","H3P12","H3 histone pseudogene 12"
"7041","H3P13","H3 histone pseudogene 13"
"7042","H3P14","H3 histone pseudogene 14"
"7043","H3P15","H3 histone pseudogene 15"
"7044","H3P16","H3 histone pseudogene 16"
"7045","H3P17","H3 histone pseudogene 17"
"7046","H3P18","H3 histone pseudogene 18"
"7047","H3P19","H3 histone pseudogene 19"
"7048","H3P20","H3 histone pseudogene 20"
"7049","H3P21","H3 histone pseudogene 21"
"7050","H3P22","H3 histone pseudogene 22"
"7051","H3P23","H3 histone pseudogene 23"
"7052","H3P24","H3 histone pseudogene 24"
"7053","H3P25","H3 histone pseudogene 25"
"7054","H3P26","H3 histone pseudogene 26"
"7055","H3P27","H3 histone pseudogene 27"
"7056","H3P28","H3 histone pseudogene 28"
"7057","H3P29","H3 histone pseudogene 29"
"7058","H3P30","H3 histone pseudogene 30"
"7059","H3P31","H3 histone pseudogene 31"
"7060","H3P32","H3 histone pseudogene 32"
"7061","H3P33","H3 histone pseudogene 33"
"7062","H3P34","H3 histone pseudogene 34"
"7063","H3P35","H3 histone pseudogene 35"
"7064","H3P36","H3 histone pseudogene 36"
"7065","H3P37","H3 histone pseudogene 37"
"7066","H3P38","H3 histone pseudogene 38"
"7067","H3P39","H3 histone pseudogene 39"
"7068","H3P40","H3 histone pseudogene 40"
"7069","H3P41","H3 histone pseudogene 41"
"7070","H3P42","H3 histone pseudogene 42"
"7071","H3P43","H3 histone pseudogene 43"
"7072","H3P44","H3 histone pseudogene 44"
"7073","H3P45","H3 histone pseudogene 45"
"7074","H3P46","H3 histone pseudogene 46"
"7075","H3P47","H3 histone pseudogene 47"
"7076","H3Y1","H3.Y histone 1"
"7077","H3Y2","H3.Y histone 2"
"7078","H4-16","H4 histone 16"
"7079","H4C1","H4 clustered histone 1"
"7080","H4C2","H4 clustered histone 2"
"7081","H4C3","H4 clustered histone 3"
"7082","H4C4","H4 clustered histone 4"
"7083","H4C5","H4 clustered histone 5"
"7084","H4C6","H4 clustered histone 6"
"7085","H4C7","H4 clustered histone 7"
"7086","H4C8","H4 clustered histone 8"
"7087","H4C9","H4 clustered histone 9"
"7088","H4C10P","H4 clustered histone 10, pseudogene"
"7089","H4C11","H4 clustered histone 11"
"7090","H4C12","H4 clustered histone 12"
"7091","H4C13","H4 clustered histone 13"
"7092","H4C14","H4 clustered histone 14"
"7093","H4C15","H4 clustered histone 15"
"7094","H4F3","H4 histone, family 3"
"7095","H4P1","H4 histone pseudogene 1"
"7096","H19","H19 imprinted maternally expressed transcript"
"7097","HACD1","3-hydroxyacyl-CoA dehydratase 1"
"7098","HACD2","3-hydroxyacyl-CoA dehydratase 2"
"7099","HACD4","3-hydroxyacyl-CoA dehydratase 4"
"7100","HADHAP1","HADHA pseudogene 1"
"7101","HADHAP2","HADHA pseudogene 2"
"7102","HADHB","hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit beta"
"7103","HAGLR","HOXD antisense growth-associated long non-coding RNA"
"7104","HAGLROS","HAGLR opposite strand lncRNA"
"7105","HAMP","hepcidin antimicrobial peptide"
"7106","HAND1","heart and neural crest derivatives expressed 1"
"7107","HAND2-AS1","HAND2 antisense RNA 1"
"7108","HAO2-IT1","HAO2 intronic transcript 1"
"7109","HAO3","hydroxyacid oxidase 3 (medium-chain)"
"7110","HAOL","(S)-2-hydroxyacid oxidase (glycolate oxidase)-like"
"7111","HAPP","huntingtin-associated protein 1, pseudogene"
"7112","HAR1A","highly accelerated region 1A"
"7113","HAR1B","highly accelerated region 1B"
"7114","HARS1","histidyl-tRNA synthetase 1"
"7115","HAS1","hyaluronan synthase 1"
"7116","HAS2-AS1","HAS2 antisense RNA 1"
"7117","HAS3","hyaluronan synthase 3"
"7118","HASPIN","histone H3 associated protein kinase"
"7119","HAUS1P1","HAUS augmin like complex subunit 1 pseudogene 1"
"7120","HAUS1P2","HAUS augmin like complex subunit 1 pseudogene 2"
"7121","HAUS1P3","HAUS augmin like complex subunit 1 pseudogene 3"
"7122","HAUS4","HAUS augmin like complex subunit 4"
"7123","HAUS4P1","HAUS augmin like complex subunit 4 pseudogene 1"
"7124","HAUS5","HAUS augmin like complex subunit 5"
"7125","HAUS6P1","HAUS augmin like complex subunit 6 pseudogene 1"
"7126","HAUS6P2","HAUS augmin like complex subunit 6 pseudogene 2"
"7127","HAUS6P3","HAUS augmin like complex subunit 6 pseudogene 3"
"7128","HAUS7","HAUS augmin like complex subunit 7"
"7129","HAUS8P1","HAUS augmin like complex subunit 8 pseudogene 1"
"7130","HAVCR1","hepatitis A virus cellular receptor 1"
"7131","HAVCR1P1","hepatitis A virus cellular receptor 1 pseudogene 1"
"7132","HAVCR1P2","hepatitis A virus cellular receptor 1 pseudogene 2"
"7133","HAVCR2","hepatitis A virus cellular receptor 2"
"7134","HBA1","hemoglobin subunit alpha 1"
"7135","HBA2","hemoglobin subunit alpha 2"
"7136","HBAP1","hemoglobin subunit alpha pseudogene 1"
"7137","HBB","hemoglobin subunit beta"
"7138","HBBP1","hemoglobin subunit beta pseudogene 1"
"7139","HBD","hemoglobin subunit delta"
"7140","HBE1","hemoglobin subunit epsilon 1"
"7141","HBG1","hemoglobin subunit gamma 1"
"7142","HBM","hemoglobin subunit mu"
"7143","HBQ1","hemoglobin subunit theta 1"
"7144","HBZP1","hemoglobin subunit zeta pseudogene 1"
"7145","HCAR1","hydroxycarboxylic acid receptor 1"
"7146","HCAR2","hydroxycarboxylic acid receptor 2"
"7147","HCAR3","hydroxycarboxylic acid receptor 3"
"7148","HCCAT5","hepatocellular carcinoma associated transcript 5"
"7149","HCFC1","host cell factor C1"
"7150","HCFC1-AS1","HCFC1 antisense RNA 1"
"7151","HCFC1R1","host cell factor C1 regulator 1"
"7152","HCFC2P1","host cell factor C2 pseudogene 1"
"7153","HCG2P1","HLA complex group 2 pseudogene 1"
"7154","HCG2P2","HLA complex group 2 pseudogene 2"
"7155","HCG2P4","HLA complex group 2 pseudogene 4"
"7156","HCG2P6","HLA complex group 2 pseudogene 6"
"7157","HCG2P7","HLA complex group 2 pseudogene 7"
"7158","HCG2P8","HLA complex group 2 pseudogene 8"
"7159","HCG4","HLA complex group 4"
"7160","HCG4B","HLA complex group 4B"
"7161","HCG4P1","HLA complex group 4 pseudogene 1"
"7162","HCG4P2","HLA complex group 4 pseudogene 2"
"7163","HCG4P3","HLA complex group 4 pseudogene 3"
"7164","HCG4P4","HLA complex group 4 pseudogene 4"
"7165","HCG4P5","HLA complex group 4 pseudogene 5"
"7166","HCG4P7","HLA complex group 4 pseudogene 7"
"7167","HCG4P8","HLA complex group 4 pseudogene 8"
"7168","HCG4P9","HLA complex group 4 pseudogene 9"
"7169","HCG4P11","HLA complex group 4 pseudogene 11"
"7170","HCG9","HLA complex group 9"
"7171","HCG9P1","HLA complex group 9 pseudogene 1"
"7172","HCG9P2","HLA complex group 9 pseudogene 2"
"7173","HCG9P3","HLA complex group 9 pseudogene 3"
"7174","HCG9P5","HLA complex group 9 pseudogene 5"
"7175","HCG11","HLA complex group 11"
"7176","HCG13P","HLA complex group 13 pseudogene"
"7177","HCG14","HLA complex group 14"
"7178","HCG15","HLA complex group 15"
"7179","HCG17","HLA complex group 17"
"7180","HCG18","HLA complex group 18"
"7181","HCG19P","HLA complex group 19 pseudogene"
"7182","HCG20","HLA complex group 20"
"7183","HCG21","HLA complex group 21"
"7184","HCG22","HLA complex group 22 (gene/pseudogene)"
"7185","HCG23","HLA complex group 23"
"7186","HCG24","HLA complex group 24"
"7187","HCG25","HLA complex group 25"
"7188","HCG26","HLA complex group 26"
"7189","HCG27","HLA complex group 27"
"7190","HCHOLA4","hypercholesterolemia, autosomal dominant 4"
"7191","HCL1","hair color 1 (brown)"
"7192","HCL2","hair color 2 (red)"
"7193","HCL3","hair color 3 (brown)"
"7194","HCN2","hyperpolarization activated cyclic nucleotide gated potassium and sodium channel 2"
"7195","HCN3","hyperpolarization activated cyclic nucleotide gated potassium channel 3"
"7196","HCP5","HLA complex P5"
"7197","HCP5B","HLA complex P5B"
"7198","HCP5P2","HLA complex P5 pseudogene 2"
"7199","HCP5P3","HLA complex P5 pseudogene 3"
"7200","HCP5P6","HLA complex P5 pseudogene 6"
"7201","HCP5P8","HLA complex P5 pseudogene 8"
"7202","HCP5P12","HLA complex P5 pseudogene 12"
"7203","HCP5P13","HLA complex P5 pseudogene 13"
"7204","HCP5P14","HLA complex P5 pseudogene 14"
"7205","HCP5P15","HLA complex P5 pseudogene 15"
"7206","HCRTR1","hypocretin receptor 1"
"7207","HCST","hematopoietic cell signal transducer"
"7208","HCVS","human coronavirus sensitivity"
"7209","HDAC1P1","histone deacetylase 1 pseudogene 1"
"7210","HDAC1P2","histone deacetylase 1 pseudogene 2"
"7211","HDAC2-AS2","HDAC2 and HS3ST5 antisense RNA 2"
"7212","HDAC4-AS1","HDAC4 antisense RNA 1"
"7213","HDAC5","histone deacetylase 5"
"7214","HDAC6","histone deacetylase 6"
"7215","HDAC9-AS1","HDAC9 antisense RNA 1"
"7216","HDAC11-AS1","HDAC11 antisense RNA 1"
"7217","HDDC3","HD domain containing 3"
"7218","HDGFL1","HDGF like 1"
"7219","HDGFL2","HDGF like 2"
"7220","HDGFL3","HDGF like 3"
"7221","HDGFP1","heparin binding growth factor pseudogene 1"
"7222","HDHD3","haloacid dehalogenase like hydrolase domain containing 3"
"7223","HDHD5","haloacid dehalogenase like hydrolase domain containing 5"
"7224","HDHD5-AS1","HDHD5 antisense RNA 1"
"7225","HDLCQ1","high density lipoprotein cholesterol level QTL 1"
"7226","HEATR4","HEAT repeat containing 4"
"7227","HEATR6","HEAT repeat containing 6"
"7228","HEATR9","HEAT repeat containing 9"
"7229","HEBP2P1","HEBP2 pseudogene 1"
"7230","HECTD2-AS1","HECTD2 antisense RNA 1"
"7231","HECW1-IT1","HECW1 intronic transcript 1"
"7232","HECW2-AS1","HECW2 antisense RNA 1"
"7233","HEIH","hepatocellular carcinoma up-regulated EZH2-associated long non-coding RNA"
"7234","HELIGL1","helicase and ligase-like 1"
"7235","HELLPAR","HELLP associated long non-coding RNA"
"7236","HEP10","hepatic protein 10"
"7237","HEPN1","hepatocellular carcinoma, down-regulated 1"
"7238","HERC2P1","hect domain and RLD 2 pseudogene 1"
"7239","HERC2P2","hect domain and RLD 2 pseudogene 2"
"7240","HERC2P3","hect domain and RLD 2 pseudogene 3"
"7241","HERC2P4","hect domain and RLD 2 pseudogene 4"
"7242","HERC2P5","hect domain and RLD 2 pseudogene 5"
"7243","HERC2P6","hect domain and RLD 2 pseudogene 6"
"7244","HERC2P7","hect domain and RLD 2 pseudogene 7"
"7245","HERC2P8","hect domain and RLD 2 pseudogene 8"
"7246","HERC2P9","hect domain and RLD 2 pseudogene 9"
"7247","HERC2P10","hect domain and RLD 2 pseudogene 10"
"7248","HERC2P11","hect domain and RLD 2 pseudogene 11"
"7249","HERC5","HECT and RLD domain containing E3 ubiquitin protein ligase 5"
"7250","HERC6","HECT and RLD domain containing E3 ubiquitin protein ligase family member 6"
"7251","HES1","hes family bHLH transcription factor 1"
"7252","HES2","hes family bHLH transcription factor 2"
"7253","HES3","hes family bHLH transcription factor 3"
"7254","HES5","hes family bHLH transcription factor 5"
"7255","HES7","hes family bHLH transcription factor 7"
"7256","HEXA","hexosaminidase subunit alpha"
"7257","HEXA-AS1","HEXA antisense RNA 1"
"7258","HEXD","hexosaminidase D"
"7259","HEXD-IT1","HEXD intronic transcript 1"
"7260","HEXIM2","HEXIM P-TEFb complex subunit 2"
"7261","HFE","homeostatic iron regulator"
"7262","HHATL-AS1","HHATL antisense RNA 1"
"7263","HHIP-AS1","HHIP antisense RNA 1"
"7264","HHIPL2","HHIP like 2"
"7265","HHLA3","HERV-H LTR-associating 3"
"7266","HHLA3-AS1","HHLA3 antisense RNA 1"
"7267","HID1-AS1","HID1 antisense RNA 1"
"7268","HIF1A-AS1","HIF1A antisense RNA 1"
"7269","HIF1A-AS2","HIF1A antisense RNA 2"
"7270","HIF1A-AS3","HIF1A antisense RNA 3"
"7271","HIF1AP1","HIF1AP pseudogene 1"
"7272","HIGD1A","HIG1 hypoxia inducible domain family member 1A"
"7273","HIGD1AP1","HIG1 hypoxia inducible domain family member 1A pseudogene 1"
"7274","HIGD1AP2","HIG1 hypoxia inducible domain family member 1A pseudogene 2"
"7275","HIGD1AP3","HIG1 hypoxia inducible domain family member 1A pseudogene 3"
"7276","HIGD1AP4","HIG1 hypoxia inducible domain family member 1A pseudogene 4"
"7277","HIGD1AP5","HIG1 hypoxia inducible domain family member 1A pseudogene 5"
"7278","HIGD1AP6","HIG1 hypoxia inducible domain family member 1A pseudogene 6"
"7279","HIGD1AP7","HIG1 hypoxia inducible domain family member 1A pseudogene 7"
"7280","HIGD1AP8","HIG1 hypoxia inducible domain family member 1A pseudogene 8"
"7281","HIGD1AP9","HIG1 hypoxia inducible domain family member 1A pseudogene 9"
"7282","HIGD1AP10","HIG1 hypoxia inducible domain family member 1A pseudogene 10"
"7283","HIGD1AP11","HIG1 hypoxia inducible domain family member 1A pseudogene 11"
"7284","HIGD1AP12","HIG1 hypoxia inducible domain family member 1A pseudogene 12"
"7285","HIGD1AP13","HIG1 hypoxia inducible domain family member 1A pseudogene 13"
"7286","HIGD1AP14","HIG1 hypoxia inducible domain family member 1A pseudogene 14"
"7287","HIGD1AP15","HIG1 hypoxia inducible domain family member 1A pseudogene 15"
"7288","HIGD1AP16","HIG1 hypoxia inducible domain family member 1A pseudogene 16"
"7289","HIGD1AP17","HIG1 hypoxia inducible domain family member 1A pseudogene 17"
"7290","HIGD1AP18","HIG1 hypoxia inducible domain family member 1A pseudogene 18"
"7291","HIGD1B","HIG1 hypoxia inducible domain family member 1B"
"7292","HIGD1C","HIG1 hypoxia inducible domain family member 1C"
"7293","HIGD2AP1","HIGD2A pseudogene 1"
"7294","HIGD2AP2","HIGD2A pseudogene 2"
"7295","HIGD2B","HIG1 hypoxia inducible domain family member 2B"
"7296","HIKESHI","heat shock protein nuclear import factor hikeshi"
"7297","HILPDA","hypoxia inducible lipid droplet associated"
"7298","HINT1P1","histidine triad nucleotide binding protein 1 pseudogene 1"
"7299","HINT1P2","histidine triad nucleotide binding protein 1 pseudogene 2"
"7300","HINT2P1","histidine triad nucleotide binding protein 2 pseudogene 1"
"7301","HIPK1-AS1","HIPK1 antisense RNA 1"
"7302","HIPK4","homeodomain interacting protein kinase 4"
"7303","HIRAP1","histone cell cycle regulator pseudogene 1"
"7304","HIRIP3","HIRA interacting protein 3"
"7305","HIST2H3B","histone cluster 2, H3b"
"7306","HJV","hemojuvelin BMP co-receptor"
"7307","HK2P1","hexokinase 2 pseudogene 1"
"7308","HK2P2","hexokinase 2 pseudogene 2"
"7309","HLA-A","major histocompatibility complex, class I, A"
"7310","HLA-B","major histocompatibility complex, class I, B"
"7311","HLA-C","major histocompatibility complex, class I, C"
"7312","HLA-DMA","major histocompatibility complex, class II, DM alpha"
"7313","HLA-DMB","major histocompatibility complex, class II, DM beta"
"7314","HLA-DOA","major histocompatibility complex, class II, DO alpha"
"7315","HLA-DOB","major histocompatibility complex, class II, DO beta"
"7316","HLA-DPA1","major histocompatibility complex, class II, DP alpha 1"
"7317","HLA-DPA2","major histocompatibility complex, class II, DP alpha 2 (pseudogene)"
"7318","HLA-DPA3","major histocompatibility complex, class II, DP alpha 3 (pseudogene)"
"7319","HLA-DPB1","major histocompatibility complex, class II, DP beta 1"
"7320","HLA-DPB2","major histocompatibility complex, class II, DP beta 2 (pseudogene)"
"7321","HLA-DQA1","major histocompatibility complex, class II, DQ alpha 1"
"7322","HLA-DQA2","major histocompatibility complex, class II, DQ alpha 2"
"7323","HLA-DQB1","major histocompatibility complex, class II, DQ beta 1"
"7324","HLA-DQB1-AS1","HLA-DQB1 antisense RNA 1"
"7325","HLA-DQB2","major histocompatibility complex, class II, DQ beta 2"
"7326","HLA-DQB3","major histocompatibility complex, class II, DQ beta 3"
"7327","HLA-DRB1","major histocompatibility complex, class II, DR beta 1"
"7328","HLA-DRB2","major histocompatibility complex, class II, DR beta 2 (pseudogene)"
"7329","HLA-DRB3","major histocompatibility complex, class II, DR beta 3"
"7330","HLA-DRB4","major histocompatibility complex, class II, DR beta 4"
"7331","HLA-DRB5","major histocompatibility complex, class II, DR beta 5"
"7332","HLA-DRB6","major histocompatibility complex, class II, DR beta 6 (pseudogene)"
"7333","HLA-DRB7","major histocompatibility complex, class II, DR beta 7 (pseudogene)"
"7334","HLA-DRB8","major histocompatibility complex, class II, DR beta 8 (pseudogene)"
"7335","HLA-DRB9","major histocompatibility complex, class II, DR beta 9 (pseudogene)"
"7336","HLA-E","major histocompatibility complex, class I, E"
"7337","HLA-F","major histocompatibility complex, class I, F"
"7338","HLA-F-AS1","HLA-F antisense RNA 1"
"7339","HLA-G","major histocompatibility complex, class I, G"
"7340","HLA-H","major histocompatibility complex, class I, H (pseudogene)"
"7341","HLA-J","major histocompatibility complex, class I, J (pseudogene)"
"7342","HLA-K","major histocompatibility complex, class I, K (pseudogene)"
"7343","HLA-L","major histocompatibility complex, class I, L (pseudogene)"
"7344","HLA-N","major histocompatibility complex, class I, N (pseudogene)"
"7345","HLA-P","major histocompatibility complex, class I, P (pseudogene)"
"7346","HLA-S","major histocompatibility complex, class I, S (pseudogene)"
"7347","HLA-T","major histocompatibility complex, class I, T (pseudogene)"
"7348","HLA-U","major histocompatibility complex, class I, U (pseudogene)"
"7349","HLA-V","major histocompatibility complex, class I, V (pseudogene)"
"7350","HLA-W","major histocompatibility complex, class I, W (pseudogene)"
"7351","HLA-X","major histocompatibility complex, class I, X (pseudogene)"
"7352","HLA-Y","major histocompatibility complex, class I, Y (pseudogene)"
"7353","HLA-Z","major histocompatibility complex, class I, Z (pseudogene)"
"7354","HLCS-IT1","HLCS intronic transcript 1"
"7355","HLFP1","HLF pseudogene 1"
"7356","HLTF","helicase like transcription factor"
"7357","HLTF-AS1","HLTF antisense RNA 1"
"7358","HLX-AS1","HLX antisense RNA 1"
"7359","HM13-AS1","HM13 antisense RNA 1"
"7360","HM13-IT1","HM13 intronic transcript 1"
"7361","HMAA","monocyte antigen A"
"7362","HMAB","monocyte antigen B"
"7363","HMBOX1-IT1","HMBOX1 intronic transcript 1"
"7364","HMBOX1-OT1","HMBOX1 overlapping transcript 1 (non-protein coding)"
"7365","HMCES","5-hydroxymethylcytosine binding, ES cell specific"
"7366","HMCN2","hemicentin 2"
"7367","HMG1P","high mobility group (nonhistone chromosomal) protein 1 pseudogene"
"7368","HMGA1P1","high mobility group AT-hook 1 pseudogene 1"
"7369","HMGA1P2","high mobility group AT-hook 1 pseudogene 2"
"7370","HMGA1P3","high mobility group AT-hook 1 pseudogene 3"
"7371","HMGA1P4","high mobility group AT-hook 1 pseudogene 4"
"7372","HMGA1P5","high mobility group AT-hook 1 pseudogene 5"
"7373","HMGA1P6","high mobility group AT-hook 1 pseudogene 6"
"7374","HMGA1P7","high mobility group AT-hook 1 pseudogene 7"
"7375","HMGA1P8","high mobility group AT-hook 1 pseudogene 8"
"7376","HMGA2-AS1","HMGA2 antisense RNA 1"
"7377","HMGB1P1","high mobility group box 1 pseudogene 1"
"7378","HMGB1P3","high mobility group box 1 pseudogene 3"
"7379","HMGB1P4","high mobility group box 1 pseudogene 4"
"7380","HMGB1P5","high mobility group box 1 pseudogene 5"
"7381","HMGB1P6","high mobility group box 1 pseudogene 6"
"7382","HMGB1P7","high mobility group box 1 pseudogene 7"
"7383","HMGB1P8","high mobility group box 1 pseudogene 8"
"7384","HMGB1P9","high mobility group box 1 pseudogene 9"
"7385","HMGB1P10","high mobility group box 1 pseudogene 10"
"7386","HMGB1P11","high mobility group box 1 pseudogene 11"
"7387","HMGB1P12","high mobility group box 1 pseudogene 12"
"7388","HMGB1P13","high mobility group box 1 pseudogene 13"
"7389","HMGB1P14","high mobility group box 1 pseudogene 14"
"7390","HMGB1P15","high mobility group box 1 pseudogene 15"
"7391","HMGB1P16","high mobility group box 1 pseudogene 16"
"7392","HMGB1P17","high mobility group box 1 pseudogene 17"
"7393","HMGB1P18","high mobility group box 1 pseudogene 18"
"7394","HMGB1P19","high mobility group box 1 pseudogene 19"
"7395","HMGB1P20","high mobility group box 1 pseudogene 20"
"7396","HMGB1P21","high mobility group box 1 pseudogene 21"
"7397","HMGB1P22","high mobility group box 1 pseudogene 22"
