"","V1","bird","sex","tissue","treatment","group","study"
"o3.x_male_hypothalamus_m.n2","o3.x_male_hypothalamus_m.n2","o3.x","male","hypothalamus","m.n2","male.hypothalamus.m.n2","manipulation"
"o3.x_male_pituitary_m.n2","o3.x_male_pituitary_m.n2","o3.x","male","pituitary","m.n2","male.pituitary.m.n2","manipulation"
"o36.r62.x_female_gonad_m.inc.d9","o36.r62.x_female_gonad_m.inc.d9","o36.r62.x","female","gonad","m.inc.d9","female.gonad.m.inc.d9","manipulation"
"o36.r62.x_female_hypothalamus_m.inc.d9","o36.r62.x_female_hypothalamus_m.inc.d9","o36.r62.x","female","hypothalamus","m.inc.d9","female.hypothalamus.m.inc.d9","manipulation"
"o36.r62.x_female_pituitary_m.inc.d9","o36.r62.x_female_pituitary_m.inc.d9","o36.r62.x","female","pituitary","m.inc.d9","female.pituitary.m.inc.d9","manipulation"
"o45.g128.x_female_gonad_m.inc.d9.NYNO","o45.g128.x_female_gonad_m.inc.d9.NYNO","o45.g128.x","female","gonad","m.inc.d9","female.gonad.m.inc.d9","manipulation"
"o45.g128.x_female_hypothalamus_m.inc.d9","o45.g128.x_female_hypothalamus_m.inc.d9","o45.g128.x","female","hypothalamus","m.inc.d9","female.hypothalamus.m.inc.d9","manipulation"
"o45.g128.x_female_pituitary_m.inc.d9","o45.g128.x_female_pituitary_m.inc.d9","o45.g128.x","female","pituitary","m.inc.d9","female.pituitary.m.inc.d9","manipulation"
"o59.blu64_male_gonad_m.inc.d17","o59.blu64_male_gonad_m.inc.d17","o59.blu64","male","gonad","m.inc.d17","male.gonad.m.inc.d17","manipulation"
"o59.blu64_male_hypothalamus_m.inc.d17","o59.blu64_male_hypothalamus_m.inc.d17","o59.blu64","male","hypothalamus","m.inc.d17","male.hypothalamus.m.inc.d17","manipulation"
"o59.blu64_male_pituitary_m.inc.d17","o59.blu64_male_pituitary_m.inc.d17","o59.blu64","male","pituitary","m.inc.d17","male.pituitary.m.inc.d17","manipulation"
"p.g.blk.s040_female_gonad_m.inc.d8","p.g.blk.s040_female_gonad_m.inc.d8","p.g.blk.s040","female","gonad","m.inc.d8","female.gonad.m.inc.d8","manipulation"
"p.g.blk.s040_female_hypothalamus_m.inc.d8","p.g.blk.s040_female_hypothalamus_m.inc.d8","p.g.blk.s040","female","hypothalamus","m.inc.d8","female.hypothalamus.m.inc.d8","manipulation"
"p.g.blk.s040_female_pituitary_m.inc.d8","p.g.blk.s040_female_pituitary_m.inc.d8","p.g.blk.s040","female","pituitary","m.inc.d8","female.pituitary.m.inc.d8","manipulation"
"pk.s.d.g_male_gonad_prolong","pk.s.d.g_male_gonad_prolong","pk.s.d.g","male","gonad","prolong","male.gonad.prolong","manipulation"
"pk.s.d.g_male_hypothalamus_prolong","pk.s.d.g_male_hypothalamus_prolong","pk.s.d.g","male","hypothalamus","prolong","male.hypothalamus.prolong","manipulation"
"pk.s.d.g_male_pituitary_prolong","pk.s.d.g_male_pituitary_prolong","pk.s.d.g","male","pituitary","prolong","male.pituitary.prolong","manipulation"
"pk.s011.o.y_female_gonad_m.inc.d17","pk.s011.o.y_female_gonad_m.inc.d17","pk.s011.o.y","female","gonad","m.inc.d17","female.gonad.m.inc.d17","manipulation"
"pk.s011.o.y_female_hypothalamus_m.inc.d17","pk.s011.o.y_female_hypothalamus_m.inc.d17","pk.s011.o.y","female","hypothalamus","m.inc.d17","female.hypothalamus.m.inc.d17","manipulation"
"pk.s011.o.y_female_pituitary_m.inc.d17","pk.s011.o.y_female_pituitary_m.inc.d17","pk.s011.o.y","female","pituitary","m.inc.d17","female.pituitary.m.inc.d17","manipulation"
"pk.s054.d.g_female_gonad_m.hatch","pk.s054.d.g_female_gonad_m.hatch","pk.s054.d.g","female","gonad","m.n2","female.gonad.m.n2","manipulation"
"pk.s054.d.g_female_hypothalamus_m.hatch","pk.s054.d.g_female_hypothalamus_m.hatch","pk.s054.d.g","female","hypothalamus","m.n2","female.hypothalamus.m.n2","manipulation"
"pk.s054.d.g_female_pituitary_m.hatch","pk.s054.d.g_female_pituitary_m.hatch","pk.s054.d.g","female","pituitary","m.n2","female.pituitary.m.n2","manipulation"
"pk.s055.d.l_female_gonad_m.inc.d8","pk.s055.d.l_female_gonad_m.inc.d8","pk.s055.d.l","female","gonad","m.inc.d8","female.gonad.m.inc.d8","manipulation"
"pk.s055.d.l_female_hypothalamus_m.inc.d8","pk.s055.d.l_female_hypothalamus_m.inc.d8","pk.s055.d.l","female","hypothalamus","m.inc.d8","female.hypothalamus.m.inc.d8","manipulation"
"pk.s055.d.l_female_pituitary_m.inc.d8","pk.s055.d.l_female_pituitary_m.inc.d8","pk.s055.d.l","female","pituitary","m.inc.d8","female.pituitary.m.inc.d8","manipulation"
"pu.blk.s102.y_male_gonad_m.inc.d8","pu.blk.s102.y_male_gonad_m.inc.d8","pu.blk.s102.y","male","gonad","m.inc.d8","male.gonad.m.inc.d8","manipulation"
"pu.blk.s102.y_male_hypothalamus_m.inc.d8","pu.blk.s102.y_male_hypothalamus_m.inc.d8","pu.blk.s102.y","male","hypothalamus","m.inc.d8","male.hypothalamus.m.inc.d8","manipulation"
"pu.blk.s102.y_male_pituitary_m.inc.d8","pu.blk.s102.y_male_pituitary_m.inc.d8","pu.blk.s102.y","male","pituitary","m.inc.d8","male.pituitary.m.inc.d8","manipulation"
"pu.s.o.r_male_hypothalamus_m.hatch","pu.s.o.r_male_hypothalamus_m.hatch","pu.s.o.r","male","hypothalamus","m.n2","male.hypothalamus.m.n2","manipulation"
"pu.s.o.r_male_pituitary_m.hatch","pu.s.o.r_male_pituitary_m.hatch","pu.s.o.r","male","pituitary","m.n2","male.pituitary.m.n2","manipulation"
"r.s035.y.blk_female_gonad_m.inc.d3","r.s035.y.blk_female_gonad_m.inc.d3","r.s035.y.blk","female","gonad","m.inc.d3","female.gonad.m.inc.d3","manipulation"
"r.s035.y.blk_female_hypothalamus_m.inc.d3","r.s035.y.blk_female_hypothalamus_m.inc.d3","r.s035.y.blk","female","hypothalamus","m.inc.d3","female.hypothalamus.m.inc.d3","manipulation"
"r.s035.y.blk_female_pituitary_m.inc.d3","r.s035.y.blk_female_pituitary_m.inc.d3","r.s035.y.blk","female","pituitary","m.inc.d3","female.pituitary.m.inc.d3","manipulation"
"r.s057.g.pk_male_gonad_extend","r.s057.g.pk_male_gonad_extend","r.s057.g.pk","male","gonad","extend","male.gonad.extend","manipulation"
"r.s057.g.pk_male_hypothalamus_extend","r.s057.g.pk_male_hypothalamus_extend","r.s057.g.pk","male","hypothalamus","extend","male.hypothalamus.extend","manipulation"
"r.s057.g.pk_male_pituitary_extend","r.s057.g.pk_male_pituitary_extend","r.s057.g.pk","male","pituitary","extend","male.pituitary.extend","manipulation"
"r.s058.d.l_male_gonad_m.inc.d8","r.s058.d.l_male_gonad_m.inc.d8","r.s058.d.l","male","gonad","m.inc.d8","male.gonad.m.inc.d8","manipulation"
"r.s058.d.l_male_hypothalamus_m.inc.d8","r.s058.d.l_male_hypothalamus_m.inc.d8","r.s058.d.l","male","hypothalamus","m.inc.d8","male.hypothalamus.m.inc.d8","manipulation"
"r.s058.d.l_male_pituitary_m.inc.d8","r.s058.d.l_male_pituitary_m.inc.d8","r.s058.d.l","male","pituitary","m.inc.d8","male.pituitary.m.inc.d8","manipulation"
"r.s086.l.blk_male_gonad_extend","r.s086.l.blk_male_gonad_extend","r.s086.l.blk","male","gonad","extend","male.gonad.extend","manipulation"
"r.s086.l.blk_male_hypothalamus_extend","r.s086.l.blk_male_hypothalamus_extend","r.s086.l.blk","male","hypothalamus","extend","male.hypothalamus.extend","manipulation"
"r.s086.l.blk_male_pituitary_extend","r.s086.l.blk_male_pituitary_extend","r.s086.l.blk","male","pituitary","extend","male.pituitary.extend","manipulation"
"r.s131.o.d_female_gonad_extend","r.s131.o.d_female_gonad_extend","r.s131.o.d","female","gonad","extend","female.gonad.extend","manipulation"
"r.s131.o.d_female_hypothalamus_extend","r.s131.o.d_female_hypothalamus_extend","r.s131.o.d","female","hypothalamus","extend","female.hypothalamus.extend","manipulation"
"r.s131.o.d_female_pituitary_extend","r.s131.o.d_female_pituitary_extend","r.s131.o.d","female","pituitary","extend","female.pituitary.extend","manipulation"
"r.s172.l.y_male_gonad_extend","r.s172.l.y_male_gonad_extend","r.s172.l.y","male","gonad","extend","male.gonad.extend","manipulation"
"r.s172.l.y_male_hypothalamus_extend","r.s172.l.y_male_hypothalamus_extend","r.s172.l.y","male","hypothalamus","extend","male.hypothalamus.extend","manipulation"
"r.s172.l.y_male_pituitary_extend","r.s172.l.y_male_pituitary_extend","r.s172.l.y","male","pituitary","extend","male.pituitary.extend","manipulation"
"r194.x_female_gonad_prolong","r194.x_female_gonad_prolong","r194.x","female","gonad","prolong","female.gonad.prolong","manipulation"
"r194.x_female_hypothalamus_prolong","r194.x_female_hypothalamus_prolong","r194.x","female","hypothalamus","prolong","female.hypothalamus.prolong","manipulation"
"r194.x_female_pituitary_prolong","r194.x_female_pituitary_prolong","r194.x","female","pituitary","prolong","female.pituitary.prolong","manipulation"
"r196.x_male_gonad_m.inc.d9","r196.x_male_gonad_m.inc.d9","r196.x","male","gonad","m.inc.d9","male.gonad.m.inc.d9","manipulation"
"r196.x_male_hypothalamus_m.inc.d9","r196.x_male_hypothalamus_m.inc.d9","r196.x","male","hypothalamus","m.inc.d9","male.hypothalamus.m.inc.d9","manipulation"
"r196.x_male_pituitary_m.inc.d9","r196.x_male_pituitary_m.inc.d9","r196.x","male","pituitary","m.inc.d9","male.pituitary.m.inc.d9","manipulation"
"r4.x_male_gonad_m.inc.d8","r4.x_male_gonad_m.inc.d8","r4.x","male","gonad","m.inc.d8","male.gonad.m.inc.d8","manipulation"
"r4.x_male_hypothalamus_m.inc.d8","r4.x_male_hypothalamus_m.inc.d8","r4.x","male","hypothalamus","m.inc.d8","male.hypothalamus.m.inc.d8","manipulation"
"r4.x_male_pituitary_m.inc.d8","r4.x_male_pituitary_m.inc.d8","r4.x","male","pituitary","m.inc.d8","male.pituitary.m.inc.d8","manipulation"
"r81.x_male_gonad_inc.prolong","r81.x_male_gonad_inc.prolong","r81.x","male","gonad","prolong","male.gonad.prolong","manipulation"
"r81.x_male_hypothalamus_inc.prolong","r81.x_male_hypothalamus_inc.prolong","r81.x","male","hypothalamus","prolong","male.hypothalamus.prolong","manipulation"
"r81.x_male_pituitary_inc.prolong","r81.x_male_pituitary_inc.prolong","r81.x","male","pituitary","prolong","male.pituitary.prolong","manipulation"
"r84.x_male_gonad_m.inc.d9","r84.x_male_gonad_m.inc.d9","r84.x","male","gonad","m.inc.d9","male.gonad.m.inc.d9","manipulation"
"r84.x_male_hypothalamus_m.inc.d9","r84.x_male_hypothalamus_m.inc.d9","r84.x","male","hypothalamus","m.inc.d9","male.hypothalamus.m.inc.d9","manipulation"
"r84.x_male_pituitary_m.inc.d9","r84.x_male_pituitary_m.inc.d9","r84.x","male","pituitary","m.inc.d9","male.pituitary.m.inc.d9","manipulation"
"r85.g39_male_gonad_m.inc.d9.NYNO","r85.g39_male_gonad_m.inc.d9.NYNO","r85.g39","male","gonad","m.inc.d9","male.gonad.m.inc.d9","manipulation"
"r85.g39_male_hypothalamus_m.inc.d9","r85.g39_male_hypothalamus_m.inc.d9","r85.g39","male","hypothalamus","m.inc.d9","male.hypothalamus.m.inc.d9","manipulation"
"r85.g39_male_pituitary_m.inc.d9.NYNO","r85.g39_male_pituitary_m.inc.d9.NYNO","r85.g39","male","pituitary","m.inc.d9","male.pituitary.m.inc.d9","manipulation"
"r90.x_male_gonad_inc.prolong","r90.x_male_gonad_inc.prolong","r90.x","male","gonad","prolong","male.gonad.prolong","manipulation"
"r90.x_male_hypothalamus_inc.prolong","r90.x_male_hypothalamus_inc.prolong","r90.x","male","hypothalamus","prolong","male.hypothalamus.prolong","manipulation"
"r90.x_male_pituitary_inc.prolong","r90.x_male_pituitary_inc.prolong","r90.x","male","pituitary","prolong","male.pituitary.prolong","manipulation"
"s.pu.pk_female_gonad_prolong","s.pu.pk_female_gonad_prolong","s.pu.pk","female","gonad","prolong","female.gonad.prolong","manipulation"
"s.pu.pk_female_hypothalamus_prolong","s.pu.pk_female_hypothalamus_prolong","s.pu.pk","female","hypothalamus","prolong","female.hypothalamus.prolong","manipulation"
"s.pu.pk_female_pituitary_prolong","s.pu.pk_female_pituitary_prolong","s.pu.pk","female","pituitary","prolong","female.pituitary.prolong","manipulation"
"s002.x_female_gonad_m.inc.d8","s002.x_female_gonad_m.inc.d8","s002.x","female","gonad","m.inc.d8","female.gonad.m.inc.d8","manipulation"
"s002.x_female_hypothalamus_m.inc.d8","s002.x_female_hypothalamus_m.inc.d8","s002.x","female","hypothalamus","m.inc.d8","female.hypothalamus.m.inc.d8","manipulation"
"s002.x_female_pituitary_m.inc.d8","s002.x_female_pituitary_m.inc.d8","s002.x","female","pituitary","m.inc.d8","female.pituitary.m.inc.d8","manipulation"
"s038.g.d.blk_female_gonad_m.inc.d17","s038.g.d.blk_female_gonad_m.inc.d17","s038.g.d.blk","female","gonad","m.inc.d17","female.gonad.m.inc.d17","manipulation"
"s038.g.d.blk_female_hypothalamus_m.inc.d17","s038.g.d.blk_female_hypothalamus_m.inc.d17","s038.g.d.blk","female","hypothalamus","m.inc.d17","female.hypothalamus.m.inc.d17","manipulation"
"s038.g.d.blk_female_pituitary_m.inc.d17","s038.g.d.blk_female_pituitary_m.inc.d17","s038.g.d.blk","female","pituitary","m.inc.d17","female.pituitary.m.inc.d17","manipulation"
"s044.blk.d.r_male_gonad_m.inc.d8","s044.blk.d.r_male_gonad_m.inc.d8","s044.blk.d.r","male","gonad","m.inc.d8","male.gonad.m.inc.d8","manipulation"
"s044.blk.d.r_male_hypothalamus_m.inc.d8","s044.blk.d.r_male_hypothalamus_m.inc.d8","s044.blk.d.r","male","hypothalamus","m.inc.d8","male.hypothalamus.m.inc.d8","manipulation"
"s044.blk.d.r_male_pituitary_m.inc.d8","s044.blk.d.r_male_pituitary_m.inc.d8","s044.blk.d.r","male","pituitary","m.inc.d8","male.pituitary.m.inc.d8","manipulation"
"s062.d.blk.g_male_gonad_m.hatch","s062.d.blk.g_male_gonad_m.hatch","s062.d.blk.g","male","gonad","m.n2","male.gonad.m.n2","manipulation"
"s062.d.blk.g_male_hypothalamus_m.hatch","s062.d.blk.g_male_hypothalamus_m.hatch","s062.d.blk.g","male","hypothalamus","m.n2","male.hypothalamus.m.n2","manipulation"
"s062.d.blk.g_male_pituitary_m.hatch","s062.d.blk.g_male_pituitary_m.hatch","s062.d.blk.g","male","pituitary","m.n2","male.pituitary.m.n2","manipulation"
"s064.g.blk.pu_male_gonad_m.inc.d17","s064.g.blk.pu_male_gonad_m.inc.d17","s064.g.blk.pu","male","gonad","m.inc.d17","male.gonad.m.inc.d17","manipulation"
"s064.g.blk.pu_male_hypothalamus_m.inc.d17","s064.g.blk.pu_male_hypothalamus_m.inc.d17","s064.g.blk.pu","male","hypothalamus","m.inc.d17","male.hypothalamus.m.inc.d17","manipulation"
"s064.g.blk.pu_male_pituitary_m.inc.d17","s064.g.blk.pu_male_pituitary_m.inc.d17","s064.g.blk.pu","male","pituitary","m.inc.d17","male.pituitary.m.inc.d17","manipulation"
"s067.o.l.y_male_gonad_m.inc.d8","s067.o.l.y_male_gonad_m.inc.d8","s067.o.l.y","male","gonad","m.inc.d8","male.gonad.m.inc.d8","manipulation"
"s067.o.l.y_male_hypothalamus_m.inc.d8","s067.o.l.y_male_hypothalamus_m.inc.d8","s067.o.l.y","male","hypothalamus","m.inc.d8","male.hypothalamus.m.inc.d8","manipulation"
"s067.o.l.y_male_pituitary_m.inc.d8","s067.o.l.y_male_pituitary_m.inc.d8","s067.o.l.y","male","pituitary","m.inc.d8","male.pituitary.m.inc.d8","manipulation"
"s069.pk.pu.g_female_gonad_m.inc.d3","s069.pk.pu.g_female_gonad_m.inc.d3","s069.pk.pu.g","female","gonad","m.inc.d3","female.gonad.m.inc.d3","manipulation"
"s069.pk.pu.g_female_hypothalamus_m.inc.d3","s069.pk.pu.g_female_hypothalamus_m.inc.d3","s069.pk.pu.g","female","hypothalamus","m.inc.d3","female.hypothalamus.m.inc.d3","manipulation"
"s069.pk.pu.g_female_pituitary_m.inc.d3","s069.pk.pu.g_female_pituitary_m.inc.d3","s069.pk.pu.g","female","pituitary","m.inc.d3","female.pituitary.m.inc.d3","manipulation"
"s071.pu.g.pk_male_gonad_m.inc.d3","s071.pu.g.pk_male_gonad_m.inc.d3","s071.pu.g.pk","male","gonad","m.inc.d3","male.gonad.m.inc.d3","manipulation"
"s071.pu.g.pk_male_hypothalamus_m.inc.d3","s071.pu.g.pk_male_hypothalamus_m.inc.d3","s071.pu.g.pk","male","hypothalamus","m.inc.d3","male.hypothalamus.m.inc.d3","manipulation"
"s071.pu.g.pk_male_pituitary_m.inc.d3","s071.pu.g.pk_male_pituitary_m.inc.d3","s071.pu.g.pk","male","pituitary","m.inc.d3","male.pituitary.m.inc.d3","manipulation"
"s089.blk.pk.pu_female_gonad_extend","s089.blk.pk.pu_female_gonad_extend","s089.blk.pk.pu","female","gonad","extend","female.gonad.extend","manipulation"
"s089.blk.pk.pu_female_hypothalamus_extend","s089.blk.pk.pu_female_hypothalamus_extend","s089.blk.pk.pu","female","hypothalamus","extend","female.hypothalamus.extend","manipulation"
"s089.blk.pk.pu_female_pituitary_extend","s089.blk.pk.pu_female_pituitary_extend","s089.blk.pk.pu","female","pituitary","extend","female.pituitary.extend","manipulation"
"s090.blk.pk.w_male_gonad_m.hatch","s090.blk.pk.w_male_gonad_m.hatch","s090.blk.pk.w","male","gonad","m.n2","male.gonad.m.n2","manipulation"
"s090.blk.pk.w_male_hypothalamus_m.hatch","s090.blk.pk.w_male_hypothalamus_m.hatch","s090.blk.pk.w","male","hypothalamus","m.n2","male.hypothalamus.m.n2","manipulation"
"s090.blk.pk.w_male_pituitary_m.hatch","s090.blk.pk.w_male_pituitary_m.hatch","s090.blk.pk.w","male","pituitary","m.n2","male.pituitary.m.n2","manipulation"
"s091.blk.r.g_female_gonad_m.inc.d8","s091.blk.r.g_female_gonad_m.inc.d8","s091.blk.r.g","female","gonad","m.inc.d8","female.gonad.m.inc.d8","manipulation"
"s091.blk.r.g_female_hypothalamus_m.inc.d8","s091.blk.r.g_female_hypothalamus_m.inc.d8","s091.blk.r.g","female","hypothalamus","m.inc.d8","female.hypothalamus.m.inc.d8","manipulation"
"s091.blk.r.g_female_pituitary_m.inc.d8","s091.blk.r.g_female_pituitary_m.inc.d8","s091.blk.r.g","female","pituitary","m.inc.d8","female.pituitary.m.inc.d8","manipulation"
"s093.blk.y.d_female_gonad_m.inc.d3","s093.blk.y.d_female_gonad_m.inc.d3","s093.blk.y.d","female","gonad","m.inc.d3","female.gonad.m.inc.d3","manipulation"
"s093.blk.y.d_female_hypothalamus_m.inc.d3","s093.blk.y.d_female_hypothalamus_m.inc.d3","s093.blk.y.d","female","hypothalamus","m.inc.d3","female.hypothalamus.m.inc.d3","manipulation"
"s093.blk.y.d_female_pituitary_m.inc.d3","s093.blk.y.d_female_pituitary_m.inc.d3","s093.blk.y.d","female","pituitary","m.inc.d3","female.pituitary.m.inc.d3","manipulation"
"s096.g.blk.pk_male_gonad_m.inc.d17","s096.g.blk.pk_male_gonad_m.inc.d17","s096.g.blk.pk","male","gonad","m.inc.d17","male.gonad.m.inc.d17","manipulation"
"s096.g.blk.pk_male_hypothalamus_m.inc.d17","s096.g.blk.pk_male_hypothalamus_m.inc.d17","s096.g.blk.pk","male","hypothalamus","m.inc.d17","male.hypothalamus.m.inc.d17","manipulation"
"s096.g.blk.pk_male_pituitary_m.inc.d17","s096.g.blk.pk_male_pituitary_m.inc.d17","s096.g.blk.pk","male","pituitary","m.inc.d17","male.pituitary.m.inc.d17","manipulation"
"s100.l.pk.blk_female_gonad_m.inc.d17","s100.l.pk.blk_female_gonad_m.inc.d17","s100.l.pk.blk","female","gonad","m.inc.d17","female.gonad.m.inc.d17","manipulation"
"s100.l.pk.blk_female_hypothalamus_m.inc.d17","s100.l.pk.blk_female_hypothalamus_m.inc.d17","s100.l.pk.blk","female","hypothalamus","m.inc.d17","female.hypothalamus.m.inc.d17","manipulation"
"s100.l.pk.blk_female_pituitary_m.inc.d17","s100.l.pk.blk_female_pituitary_m.inc.d17","s100.l.pk.blk","female","pituitary","m.inc.d17","female.pituitary.m.inc.d17","manipulation"
"s103.y.pk.blk_female_gonad_m.inc.d3","s103.y.pk.blk_female_gonad_m.inc.d3","s103.y.pk.blk","female","gonad","m.inc.d3","female.gonad.m.inc.d3","manipulation"
"s103.y.pk.blk_female_hypothalamus_m.inc.d3","s103.y.pk.blk_female_hypothalamus_m.inc.d3","s103.y.pk.blk","female","hypothalamus","m.inc.d3","female.hypothalamus.m.inc.d3","manipulation"
"s103.y.pk.blk_female_pituitary_m.inc.d3","s103.y.pk.blk_female_pituitary_m.inc.d3","s103.y.pk.blk","female","pituitary","m.inc.d3","female.pituitary.m.inc.d3","manipulation"
"s137.g.blk.y_female_gonad_extend","s137.g.blk.y_female_gonad_extend","s137.g.blk.y","female","gonad","extend","female.gonad.extend","manipulation"
"s137.g.blk.y_female_hypothalamus_extend","s137.g.blk.y_female_hypothalamus_extend","s137.g.blk.y","female","hypothalamus","extend","female.hypothalamus.extend","manipulation"
"s137.g.blk.y_female_pituitary_extend","s137.g.blk.y_female_pituitary_extend","s137.g.blk.y","female","pituitary","extend","female.pituitary.extend","manipulation"
"s139.l.blk.w_male_gonad_m.inc.d3","s139.l.blk.w_male_gonad_m.inc.d3","s139.l.blk.w","male","gonad","m.inc.d3","male.gonad.m.inc.d3","manipulation"
"s139.l.blk.w_male_hypothalamus_m.inc.d3","s139.l.blk.w_male_hypothalamus_m.inc.d3","s139.l.blk.w","male","hypothalamus","m.inc.d3","male.hypothalamus.m.inc.d3","manipulation"
"s139.l.blk.w_male_pituitary_m.inc.d3","s139.l.blk.w_male_pituitary_m.inc.d3","s139.l.blk.w","male","pituitary","m.inc.d3","male.pituitary.m.inc.d3","manipulation"
"s175.blk.pu.pk_male_gonad_m.inc.d3","s175.blk.pu.pk_male_gonad_m.inc.d3","s175.blk.pu.pk","male","gonad","m.inc.d3","male.gonad.m.inc.d3","manipulation"
"s175.blk.pu.pk_male_hypothalamus_m.inc.d3","s175.blk.pu.pk_male_hypothalamus_m.inc.d3","s175.blk.pu.pk","male","hypothalamus","m.inc.d3","male.hypothalamus.m.inc.d3","manipulation"
"s175.blk.pu.pk_male_pituitary_m.inc.d3","s175.blk.pu.pk_male_pituitary_m.inc.d3","s175.blk.pu.pk","male","pituitary","m.inc.d3","male.pituitary.m.inc.d3","manipulation"
"s186.l.o.pk_female_gonad_extend","s186.l.o.pk_female_gonad_extend","s186.l.o.pk","female","gonad","extend","female.gonad.extend","manipulation"
"s186.l.o.pk_female_hypothalamus_extend","s186.l.o.pk_female_hypothalamus_extend","s186.l.o.pk","female","hypothalamus","extend","female.hypothalamus.extend","manipulation"
"s186.l.o.pk_female_pituitary_extend","s186.l.o.pk_female_pituitary_extend","s186.l.o.pk","female","pituitary","extend","female.pituitary.extend","manipulation"
"s333.y.blk.pk_female_gonad_m.hatch","s333.y.blk.pk_female_gonad_m.hatch","s333.y.blk.pk","female","gonad","m.n2","female.gonad.m.n2","manipulation"
"s333.y.blk.pk_female_hypothalamus_m.hatch","s333.y.blk.pk_female_hypothalamus_m.hatch","s333.y.blk.pk","female","hypothalamus","m.n2","female.hypothalamus.m.n2","manipulation"
"s333.y.blk.pk_female_pituitary_m.hatch","s333.y.blk.pk_female_pituitary_m.hatch","s333.y.blk.pk","female","pituitary","m.n2","female.pituitary.m.n2","manipulation"
"x.blk20_female_gonad_prolong","x.blk20_female_gonad_prolong","x.blk20","female","gonad","prolong","female.gonad.prolong","manipulation"
"x.blk20_female_hypothalamus_prolong","x.blk20_female_hypothalamus_prolong","x.blk20","female","hypothalamus","prolong","female.hypothalamus.prolong","manipulation"
"x.blk20_female_pituitary_prolong","x.blk20_female_pituitary_prolong","x.blk20","female","pituitary","prolong","female.pituitary.prolong","manipulation"
"x.blk23_male_gonad_m.n2","x.blk23_male_gonad_m.n2","x.blk23","male","gonad","m.n2","male.gonad.m.n2","manipulation"
"x.blk23_male_hypothalamus_m.n2","x.blk23_male_hypothalamus_m.n2","x.blk23","male","hypothalamus","m.n2","male.hypothalamus.m.n2","manipulation"
"x.blk23_male_pituitary_m.n2","x.blk23_male_pituitary_m.n2","x.blk23","male","pituitary","m.n2","male.pituitary.m.n2","manipulation"
"x.blu25_female_gonad_m.inc.d9","x.blu25_female_gonad_m.inc.d9","x.blu25","female","gonad","m.inc.d9","female.gonad.m.inc.d9","manipulation"
"x.blu25_female_hypothalamus_m.inc.d9","x.blu25_female_hypothalamus_m.inc.d9","x.blu25","female","hypothalamus","m.inc.d9","female.hypothalamus.m.inc.d9","manipulation"
"x.blu25_female_pituitary_m.inc.d9","x.blu25_female_pituitary_m.inc.d9","x.blu25","female","pituitary","m.inc.d9","female.pituitary.m.inc.d9","manipulation"
"x.blu57_male_gonad_prolong","x.blu57_male_gonad_prolong","x.blu57","male","gonad","prolong","male.gonad.prolong","manipulation"
"x.blu57_male_hypothalamus_prolong","x.blu57_male_hypothalamus_prolong","x.blu57","male","hypothalamus","prolong","male.hypothalamus.prolong","manipulation"
"x.blu57_male_pituitary_prolong","x.blu57_male_pituitary_prolong","x.blu57","male","pituitary","prolong","male.pituitary.prolong","manipulation"
"x.blu69_male_gonad_extend","x.blu69_male_gonad_extend","x.blu69","male","gonad","extend","male.gonad.extend","manipulation"
"x.blu69_male_hypothalamus_extend","x.blu69_male_hypothalamus_extend","x.blu69","male","hypothalamus","extend","male.hypothalamus.extend","manipulation"
"x.blu69_male_pituitary_extend","x.blu69_male_pituitary_extend","x.blu69","male","pituitary","extend","male.pituitary.extend","manipulation"
"x.blu73_male_gonad_extend","x.blu73_male_gonad_extend","x.blu73","male","gonad","extend","male.gonad.extend","manipulation"
"x.blu73_male_hypothalamus_extend","x.blu73_male_hypothalamus_extend","x.blu73","male","hypothalamus","extend","male.hypothalamus.extend","manipulation"
"x.blu73_male_pituitary_extend","x.blu73_male_pituitary_extend","x.blu73","male","pituitary","extend","male.pituitary.extend","manipulation"
"x.blu76_male_gonad_m.hatch","x.blu76_male_gonad_m.hatch","x.blu76","male","gonad","m.n2","male.gonad.m.n2","manipulation"
"x.blu76_male_hypothalamus_m.hatch","x.blu76_male_hypothalamus_m.hatch","x.blu76","male","hypothalamus","m.n2","male.hypothalamus.m.n2","manipulation"
"x.blu76_male_pituitary_m.hatch","x.blu76_male_pituitary_m.hatch","x.blu76","male","pituitary","m.n2","male.pituitary.m.n2","manipulation"
"x.blu94_female_gonad_m.inc.d17","x.blu94_female_gonad_m.inc.d17","x.blu94","female","gonad","m.inc.d17","female.gonad.m.inc.d17","manipulation"
"x.blu94_female_hypothalamus_m.inc.d17","x.blu94_female_hypothalamus_m.inc.d17","x.blu94","female","hypothalamus","m.inc.d17","female.hypothalamus.m.inc.d17","manipulation"
"x.blu94_female_pituitary_m.inc.d17","x.blu94_female_pituitary_m.inc.d17","x.blu94","female","pituitary","m.inc.d17","female.pituitary.m.inc.d17","manipulation"
"x.blu96_female_gonad_m.n2","x.blu96_female_gonad_m.n2","x.blu96","female","gonad","m.n2","female.gonad.m.n2","manipulation"
"x.blu96_female_hypothalamus_m.n2","x.blu96_female_hypothalamus_m.n2","x.blu96","female","hypothalamus","m.n2","female.hypothalamus.m.n2","manipulation"
"x.blu96_female_pituitary_m.n2","x.blu96_female_pituitary_m.n2","x.blu96","female","pituitary","m.n2","female.pituitary.m.n2","manipulation"
