"","V1","bird","sex","tissue","treatment","external","internal","group","study"
"211","g.s179.o.pk_male_gonad_m.inc.d8","g.s179.o.pk","male","gonads","early","chicks","early","male.gonads.early","charcterization"
"212","g.s179.o.pk_male_hypothalamus_m.inc.d8","g.s179.o.pk","male","hypothalamus","early","chicks","early","male.hypothalamus.early","charcterization"
"213","g.s179.o.pk_male_pituitary_m.inc.d8","g.s179.o.pk","male","pituitary","early","chicks","early","male.pituitary.early","charcterization"
"214","g.s351.pk.w_male_gonad_extend","g.s351.pk.w","male","gonads","extend","chicks","late","male.gonads.extend","manipulation"
"215","g.s351.pk.w_male_hypothalamus_extend","g.s351.pk.w","male","hypothalamus","extend","chicks","late","male.hypothalamus.extend","manipulation"
"216","g.s351.pk.w_male_pituitary_extend","g.s351.pk.w","male","pituitary","extend","chicks","late","male.pituitary.extend","manipulation"
"217","g.x.ATLAS_female_gonad_control","g.x.atlas","female","gonads","control","control","control","female.gonads.control","charcterization"
"218","g.y.blk.s006_female_gonad_m.inc.d17","g.y.blk.s006","female","gonads","m.inc.d17","nest","late","female.gonads.m.inc.d17","manipulation"
"219","g.y.blk.s006_female_hypothalamus_m.inc.d17","g.y.blk.s006","female","hypothalamus","m.inc.d17","nest","late","female.hypothalamus.m.inc.d17","manipulation"
"220","g.y.blk.s006_female_pituitary_m.inc.d17","g.y.blk.s006","female","pituitary","m.inc.d17","nest","late","female.pituitary.m.inc.d17","manipulation"
"221","g.y.o.s_male_gonad_prolong","g.y.o.s","male","gonads","prolong","eggs","late","male.gonads.prolong","manipulation"
"222","g.y.o.s_male_hypothalamus_prolong","g.y.o.s","male","hypothalamus","prolong","eggs","late","male.hypothalamus.prolong","manipulation"
"223","g.y.o.s_male_pituitary_prolong","g.y.o.s","male","pituitary","prolong","eggs","late","male.pituitary.prolong","manipulation"
"224","g104.w82.x_male_gonad_bldg","g104.w82.x","male","gonads","bldg","nest","early","male.gonads.bldg","charcterization"
"225","g104.w82.x_male_hypothalamus_bldg","g104.w82.x","male","hypothalamus","bldg","nest","early","male.hypothalamus.bldg","charcterization"
"226","g104.w82.x_male_pituitary_bldg","g104.w82.x","male","pituitary","bldg","nest","early","male.pituitary.bldg","charcterization"
"227","g114.w83.x_male_gonad_hatch.NYNO","g114.w83.x","male","gonads","hatch","chicks","late","male.gonads.hatch","charcterization"
"228","g114.w83.x_male_hypothalamus_hatch","g114.w83.x","male","hypothalamus","hatch","chicks","late","male.hypothalamus.hatch","charcterization"
"229","g114.w83.x_male_pituitary_hatch.NYNO","g114.w83.x","male","pituitary","hatch","chicks","late","male.pituitary.hatch","charcterization"
"230","g130.y81.x_male_gonad_inc.d17","g130.y81.x","male","gonads","inc.d17","eggs","late","male.gonads.inc.d17","charcterization"
"231","g130.y81.x_male_hypothalamus_inc.d17","g130.y81.x","male","hypothalamus","inc.d17","eggs","late","male.hypothalamus.inc.d17","charcterization"
"232","g130.y81.x_male_pituitary_inc.d17","g130.y81.x","male","pituitary","inc.d17","eggs","late","male.pituitary.inc.d17","charcterization"
"233","g137.r24.w5_male_gonad_m.inc.d8","g137.r24.w5","male","gonads","early","chicks","early","male.gonads.early","charcterization"
"234","g137.r24.w5_male_hypothalamus_m.inc.d8","g137.r24.w5","male","hypothalamus","early","chicks","early","male.hypothalamus.early","charcterization"
"235","g137.r24.w5_male_pituitary_m.inc.d8","g137.r24.w5","male","pituitary","early","chicks","early","male.pituitary.early","charcterization"
"236","g141.blu27.x_female_gonad_bldg","g141.blu27.x","female","gonads","bldg","nest","early","female.gonads.bldg","charcterization"
"237","g141.blu27.x_female_hypothalamus_bldg","g141.blu27.x","female","hypothalamus","bldg","nest","early","female.hypothalamus.bldg","charcterization"
"238","g141.blu27.x_female_pituitary_bldg","g141.blu27.x","female","pituitary","bldg","nest","early","female.pituitary.bldg","charcterization"
"239","g142.r40.x_female_gonad_inc.d17","g142.r40.x","female","gonads","inc.d17","eggs","late","female.gonads.inc.d17","charcterization"
"240","g142.r40.x_female_hypothalamus_inc.d17","g142.r40.x","female","hypothalamus","inc.d17","eggs","late","female.hypothalamus.inc.d17","charcterization"
"241","g142.r40.x_female_pituitary_inc.d17","g142.r40.x","female","pituitary","inc.d17","eggs","late","female.pituitary.inc.d17","charcterization"
"242","g143.blu32.x_male_gonad_inc.d17","g143.blu32.x","male","gonads","inc.d17","eggs","late","male.gonads.inc.d17","charcterization"
"243","g143.blu32.x_male_hypothalamus_inc.d17","g143.blu32.x","male","hypothalamus","inc.d17","eggs","late","male.hypothalamus.inc.d17","charcterization"
"244","g143.blu32.x_male_pituitary_inc.d17","g143.blu32.x","male","pituitary","inc.d17","eggs","late","male.pituitary.inc.d17","charcterization"
"245","g144.r54.x_female_gonad_m.inc.d3","g144.r54.x","female","gonads","m.inc.d3","nest","early","female.gonads.m.inc.d3","manipulation"
"246","g144.r54.x_female_hypothalamus_m.inc.d3","g144.r54.x","female","hypothalamus","m.inc.d3","nest","early","female.hypothalamus.m.inc.d3","manipulation"
"247","g144.r54.x_female_pituitary_m.inc.d3","g144.r54.x","female","pituitary","m.inc.d3","nest","early","female.pituitary.m.inc.d3","manipulation"
"248","g146.blu51_male_gonad_inc.d3","g146.blu51","male","gonads","inc.d3","eggs","early","male.gonads.inc.d3","charcterization"
"249","g146.blu51_male_hypothalamus_inc.d3.NYNO","g146.blu51","male","hypothalamus","inc.d3","eggs","early","male.hypothalamus.inc.d3","charcterization"
"250","g146.blu51_male_pituitary_inc.d3","g146.blu51","male","pituitary","inc.d3","eggs","early","male.pituitary.inc.d3","charcterization"
"251","g17.w108.x_female_gonad_extend","g17.w108.x","female","gonads","extend","chicks","late","female.gonads.extend","manipulation"
"252","g17.w108.x_female_hypothalamus_extend","g17.w108.x","female","hypothalamus","extend","chicks","late","female.hypothalamus.extend","manipulation"
"253","g17.w108.x_female_pituitary_extend","g17.w108.x","female","pituitary","extend","chicks","late","female.pituitary.extend","manipulation"
"254","g20.w106.x_male_gonad_inc.d3","g20.w106.x","male","gonads","inc.d3","eggs","early","male.gonads.inc.d3","charcterization"
"255","g20.w106.x_male_hypothalamus_inc.d3","g20.w106.x","male","hypothalamus","inc.d3","eggs","early","male.hypothalamus.inc.d3","charcterization"
"256","g20.w106.x_male_pituitary_inc.d3","g20.w106.x","male","pituitary","inc.d3","eggs","early","male.pituitary.inc.d3","charcterization"
"257","g22.blu118_female_gonad_extend","g22.blu118","female","gonads","extend","chicks","late","female.gonads.extend","manipulation"
"258","g22.blu118_female_hypothalamus_extend","g22.blu118","female","hypothalamus","extend","chicks","late","female.hypothalamus.extend","manipulation"
"259","g22.blu118_female_pituitary_extend","g22.blu118","female","pituitary","extend","chicks","late","female.pituitary.extend","manipulation"
"260","g3.g119.w20_male_gonad_extend","g3.g119.w20","male","gonads","extend","chicks","late","male.gonads.extend","manipulation"
"261","g3.g119.w20_male_hypothalamus_extend","g3.g119.w20","male","hypothalamus","extend","chicks","late","male.hypothalamus.extend","manipulation"
"262","g3.g119.w20_male_pituitary_extend","g3.g119.w20","male","pituitary","extend","chicks","late","male.pituitary.extend","manipulation"
"263","g32.blu79_male_gonad_m.inc.d17","g32.blu79","male","gonads","m.inc.d17","nest","late","male.gonads.m.inc.d17","manipulation"
"264","g32.blu79_male_hypothalamus_m.inc.d17","g32.blu79","male","hypothalamus","m.inc.d17","nest","late","male.hypothalamus.m.inc.d17","manipulation"
"265","g32.blu79_male_pituitary_m.inc.d17","g32.blu79","male","pituitary","m.inc.d17","nest","late","male.pituitary.m.inc.d17","manipulation"
"266","g34.x_male_gonad_m.hatch.NYNO","g34.x","male","gonads","m.n2","nest","late","male.gonads.m.n2","manipulation"
"267","g34.x_male_hypothalamus_m.hatch","g34.x","male","hypothalamus","m.n2","nest","late","male.hypothalamus.m.n2","manipulation"
"268","g34.x_male_pituitary_m.hatch","g34.x","male","pituitary","m.n2","nest","late","male.pituitary.m.n2","manipulation"
"269","g38.x_male_gonad_inc.prolong","g38.x","male","gonads","prolong","eggs","late","male.gonads.prolong","manipulation"
"270","g38.x_male_hypothalamus_inc.prolong","g38.x","male","hypothalamus","prolong","eggs","late","male.hypothalamus.prolong","manipulation"
"271","g38.x_male_pituitary_inc.prolong","g38.x","male","pituitary","prolong","eggs","late","male.pituitary.prolong","manipulation"
"272","g52.blu58_male_gonad_bldg","g52.blu58","male","gonads","bldg","nest","early","male.gonads.bldg","charcterization"
"273","g52.blu58_male_hypothalamus_bldg","g52.blu58","male","hypothalamus","bldg","nest","early","male.hypothalamus.bldg","charcterization"
"274","g52.blu58_male_pituitary_bldg","g52.blu58","male","pituitary","bldg","nest","early","male.pituitary.bldg","charcterization"
"275","g53.y84_male_gonad_hatch","g53.y84","male","gonads","hatch","chicks","late","male.gonads.hatch","charcterization"
"276","g53.y84_male_hypothalamus_hatch","g53.y84","male","hypothalamus","hatch","chicks","late","male.hypothalamus.hatch","charcterization"
"277","g53.y84_male_pituitary_hatch","g53.y84","male","pituitary","hatch","chicks","late","male.pituitary.hatch","charcterization"
"278","g6.w197.x_female_gonad_inc.d3","g6.w197.x","female","gonads","inc.d3","eggs","early","female.gonads.inc.d3","charcterization"
"279","g6.w197.x_female_hypothalamus_inc.d3","g6.w197.x","female","hypothalamus","inc.d3","eggs","early","female.hypothalamus.inc.d3","charcterization"
"280","g6.w197.x_female_pituitary_inc.d3","g6.w197.x","female","pituitary","inc.d3","eggs","early","female.pituitary.inc.d3","charcterization"
"281","g63.blu65_female_gonad_m.inc.d17","g63.blu65","female","gonads","m.inc.d17","nest","late","female.gonads.m.inc.d17","manipulation"
"282","g63.blu65_female_hypothalamus_m.inc.d17","g63.blu65","female","hypothalamus","m.inc.d17","nest","late","female.hypothalamus.m.inc.d17","manipulation"
"283","g63.blu65_female_pituitary_m.inc.d17","g63.blu65","female","pituitary","m.inc.d17","nest","late","female.pituitary.m.inc.d17","manipulation"
"284","g73.x_female_gonad_m.inc.d9","g73.x","female","gonads","m.inc.d9","nest","early","female.gonads.m.inc.d9","manipulation"
"285","g73.x_female_hypothalamus_m.inc.d9","g73.x","female","hypothalamus","m.inc.d9","nest","early","female.hypothalamus.m.inc.d9","manipulation"
"286","g73.x_female_pituitary_m.inc.d9","g73.x","female","pituitary","m.inc.d9","nest","early","female.pituitary.m.inc.d9","manipulation"
"287","g75.x_female_gonad_inc.d9","g75.x","female","gonads","inc.d9","eggs","early","female.gonads.inc.d9","charcterization"
"288","g75.x_female_hypothalamus_inc.d9","g75.x","female","hypothalamus","inc.d9","eggs","early","female.hypothalamus.inc.d9","charcterization"
"289","g75.x_female_pituitary_inc.d9","g75.x","female","pituitary","inc.d9","eggs","early","female.pituitary.inc.d9","charcterization"
"290","g8.y197_male_gonad_extend","g8.y197","male","gonads","extend","chicks","late","male.gonads.extend","manipulation"
"291","g8.y197_male_hypothalamus_extend","g8.y197","male","hypothalamus","extend","chicks","late","male.hypothalamus.extend","manipulation"
"292","g8.y197_male_pituitary_extend","g8.y197","male","pituitary","extend","chicks","late","male.pituitary.extend","manipulation"
"293","l.s.o.blk_male_gonad_extend","l.s.o.blk","male","gonads","extend","chicks","late","male.gonads.extend","manipulation"
"294","l.s.o.blk_male_hypothalamus_extend","l.s.o.blk","male","hypothalamus","extend","chicks","late","male.hypothalamus.extend","manipulation"
"295","l.s.o.blk_male_pituitary_extend","l.s.o.blk","male","pituitary","extend","chicks","late","male.pituitary.extend","manipulation"
"296","l.s.w.d_female_gonad_m.hatch","l.s.w.d","female","gonads","m.n2","nest","late","female.gonads.m.n2","manipulation"
"297","l.s.w.d_female_hypothalamus_m.hatch","l.s.w.d","female","hypothalamus","m.n2","nest","late","female.hypothalamus.m.n2","manipulation"
"298","l.s.w.d_female_pituitary_m.hatch","l.s.w.d","female","pituitary","m.n2","nest","late","female.pituitary.m.n2","manipulation"
"299","l.s024.y.g_male_gonad_m.inc.d17","l.s024.y.g","male","gonads","m.inc.d17","nest","late","male.gonads.m.inc.d17","manipulation"
"300","l.s024.y.g_male_hypothalamus_m.inc.d17","l.s024.y.g","male","hypothalamus","m.inc.d17","nest","late","male.hypothalamus.m.inc.d17","manipulation"
"301","l.s024.y.g_male_pituitary_m.inc.d17","l.s024.y.g","male","pituitary","m.inc.d17","nest","late","male.pituitary.m.inc.d17","manipulation"
"302","l.s052.pk.r_female_gonad_prolong","l.s052.pk.r","female","gonads","prolong","eggs","late","female.gonads.prolong","manipulation"
"303","l.s052.pk.r_female_hypothalamus_prolong","l.s052.pk.r","female","hypothalamus","prolong","eggs","late","female.hypothalamus.prolong","manipulation"
"304","l.s052.pk.r_female_pituitary_prolong","l.s052.pk.r","female","pituitary","prolong","eggs","late","female.pituitary.prolong","manipulation"
"305","l.s080.blk.r_male_gonad_prolong","l.s080.blk.r","male","gonads","prolong","eggs","late","male.gonads.prolong","manipulation"
"306","l.s080.blk.r_male_hypothalamus_prolong","l.s080.blk.r","male","hypothalamus","prolong","eggs","late","male.hypothalamus.prolong","manipulation"
"307","l.s080.blk.r_male_pituitary_prolong","l.s080.blk.r","male","pituitary","prolong","eggs","late","male.pituitary.prolong","manipulation"
"308","l.s120.y.blk_female_gonad_bldg","l.s120.y.blk","female","gonads","bldg","nest","early","female.gonads.bldg","charcterization"
"309","l.s120.y.blk_female_hypothalamus_bldg","l.s120.y.blk","female","hypothalamus","bldg","nest","early","female.hypothalamus.bldg","charcterization"
"310","l.s120.y.blk_female_pituitary_bldg","l.s120.y.blk","female","pituitary","bldg","nest","early","female.pituitary.bldg","charcterization"
"311","l.s166.o.w_female_gonad_prolong","l.s166.o.w","female","gonads","prolong","eggs","late","female.gonads.prolong","manipulation"
"312","l.s166.o.w_female_hypothalamus_prolong","l.s166.o.w","female","hypothalamus","prolong","eggs","late","female.hypothalamus.prolong","manipulation"
"313","l.s166.o.w_female_pituitary_prolong","l.s166.o.w","female","pituitary","prolong","eggs","late","female.pituitary.prolong","manipulation"
"314","l.s280.g.blk_male_gonad_m.inc.d9","l.s280.g.blk","male","gonads","m.inc.d9","nest","early","male.gonads.m.inc.d9","manipulation"
"315","l.s280.g.blk_male_hypothalamus_m.inc.d9","l.s280.g.blk","male","hypothalamus","m.inc.d9","nest","early","male.hypothalamus.m.inc.d9","manipulation"
"316","l.s280.g.blk_male_pituitary_m.inc.d9","l.s280.g.blk","male","pituitary","m.inc.d9","nest","early","male.pituitary.m.inc.d9","manipulation"
"317","o.d.s009_male_gonad_m.inc.d9","o.d.s009","male","gonads","m.inc.d9","nest","early","male.gonads.m.inc.d9","manipulation"
"318","o.d.s009_male_hypothalamus_m.inc.d9.NYNO","o.d.s009","male","hypothalamus","m.inc.d9","nest","early","male.hypothalamus.m.inc.d9","manipulation"
"319","o.d.s009_male_pituitary_m.inc.d9","o.d.s009","male","pituitary","m.inc.d9","nest","early","male.pituitary.m.inc.d9","manipulation"
"320","o.s.w.r_male_gonad_lay","o.s.w.r","male","gonads","lay","eggs","early","male.gonads.lay","charcterization"
"321","o.s.w.r_male_hypothalamus_lay","o.s.w.r","male","hypothalamus","lay","eggs","early","male.hypothalamus.lay","charcterization"
"322","o.s.w.r_male_pituitary_lay","o.s.w.r","male","pituitary","lay","eggs","early","male.pituitary.lay","charcterization"
"323","o.s010.r.blk_male_gonad_m.inc.d3","o.s010.r.blk","male","gonads","m.inc.d3","nest","early","male.gonads.m.inc.d3","manipulation"
"324","o.s010.r.blk_male_hypothalamus_m.inc.d3","o.s010.r.blk","male","hypothalamus","m.inc.d3","nest","early","male.hypothalamus.m.inc.d3","manipulation"
"325","o.s010.r.blk_male_pituitary_m.inc.d3","o.s010.r.blk","male","pituitary","m.inc.d3","nest","early","male.pituitary.m.inc.d3","manipulation"
"326","o.s084.w.blk_female_gonad_m.inc.d17","o.s084.w.blk","female","gonads","m.inc.d17","nest","late","female.gonads.m.inc.d17","manipulation"
"327","o.s084.w.blk_female_hypothalamus_m.inc.d17","o.s084.w.blk","female","hypothalamus","m.inc.d17","nest","late","female.hypothalamus.m.inc.d17","manipulation"
"328","o.s084.w.blk_female_pituitary_m.inc.d17","o.s084.w.blk","female","pituitary","m.inc.d17","nest","late","female.pituitary.m.inc.d17","manipulation"
"329","o114.blu9_male_gonad_inc.prolong","o114.blu9","male","gonads","prolong","eggs","late","male.gonads.prolong","manipulation"
"330","o114.blu9_male_hypothalamus_inc.prolong","o114.blu9","male","hypothalamus","prolong","eggs","late","male.hypothalamus.prolong","manipulation"
"331","o114.blu9_male_pituitary_inc.prolong","o114.blu9","male","pituitary","prolong","eggs","late","male.pituitary.prolong","manipulation"
"332","o152.o120.w42_male_gonad_n5","o152.o120.w42","male","gonads","n5","chicks","late","male.gonads.n5","charcterization"
"333","o152.o120.w42_male_hypothalamus_n5","o152.o120.w42","male","hypothalamus","n5","chicks","late","male.hypothalamus.n5","charcterization"
"334","o152.o120.w42_male_pituitary_n5","o152.o120.w42","male","pituitary","n5","chicks","late","male.pituitary.n5","charcterization"
"335","o156.w80.x_female_gonad_inc.d3","o156.w80.x","female","gonads","inc.d3","eggs","early","female.gonads.inc.d3","charcterization"
"336","o156.w80.x_female_hypothalamus_inc.d3","o156.w80.x","female","hypothalamus","inc.d3","eggs","early","female.hypothalamus.inc.d3","charcterization"
"337","o156.w80.x_female_pituitary_inc.d3","o156.w80.x","female","pituitary","inc.d3","eggs","early","female.pituitary.inc.d3","charcterization"
"338","o165.w122.x_female_gonad_inc.d3.NYNO","o165.w122.x","female","gonads","inc.d3","eggs","early","female.gonads.inc.d3","charcterization"
"339","o165.w122.x_female_hypothalamus_inc.d3","o165.w122.x","female","hypothalamus","inc.d3","eggs","early","female.hypothalamus.inc.d3","charcterization"
"340","o165.w122.x_female_pituitary_inc.d3.NYNO","o165.w122.x","female","pituitary","inc.d3","eggs","early","female.pituitary.inc.d3","charcterization"
"341","o169.r28.x_female_gonad_m.inc.d17","o169.r28.x","female","gonads","m.inc.d17","nest","late","female.gonads.m.inc.d17","manipulation"
"342","o169.r28.x_female_hypothalamus_m.inc.d17","o169.r28.x","female","hypothalamus","m.inc.d17","nest","late","female.hypothalamus.m.inc.d17","manipulation"
"343","o169.r28.x_female_pituitary_m.inc.d17","o169.r28.x","female","pituitary","m.inc.d17","nest","late","female.pituitary.m.inc.d17","manipulation"
"344","o172.w115.x_female_gonad_hatch","o172.w115.x","female","gonads","hatch","chicks","late","female.gonads.hatch","charcterization"
"345","o172.w115.x_female_hypothalamus_hatch","o172.w115.x","female","hypothalamus","hatch","chicks","late","female.hypothalamus.hatch","charcterization"
"346","o172.w115.x_female_pituitary_hatch.NYNO","o172.w115.x","female","pituitary","hatch","chicks","late","female.pituitary.hatch","charcterization"
"347","o173.w179.x_female_gonad_inc.d3","o173.w179.x","female","gonads","inc.d3","eggs","early","female.gonads.inc.d3","charcterization"
"348","o173.w179.x_female_hypothalamus_inc.d3","o173.w179.x","female","hypothalamus","inc.d3","eggs","early","female.hypothalamus.inc.d3","charcterization"
"349","o173.w179.x_female_pituitary_inc.d3","o173.w179.x","female","pituitary","inc.d3","eggs","early","female.pituitary.inc.d3","charcterization"
"350","o3.x_male_gonad_m.n2","o3.x","male","gonads","m.n2","nest","late","male.gonads.m.n2","manipulation"
"351","o3.x_male_hypothalamus_m.n2","o3.x","male","hypothalamus","m.n2","nest","late","male.hypothalamus.m.n2","manipulation"
"352","o3.x_male_pituitary_m.n2","o3.x","male","pituitary","m.n2","nest","late","male.pituitary.m.n2","manipulation"
"353","o35.r51.x_female_gonad_inc.d17","o35.r51.x","female","gonads","inc.d17","eggs","late","female.gonads.inc.d17","charcterization"
"354","o35.r51.x_female_hypothalamus_inc.d17","o35.r51.x","female","hypothalamus","inc.d17","eggs","late","female.hypothalamus.inc.d17","charcterization"
"355","o35.r51.x_female_pituitary_inc.d17","o35.r51.x","female","pituitary","inc.d17","eggs","late","female.pituitary.inc.d17","charcterization"
"356","o36.r62.x_female_gonad_m.inc.d9","o36.r62.x","female","gonads","m.inc.d9","nest","early","female.gonads.m.inc.d9","manipulation"
"357","o36.r62.x_female_hypothalamus_m.inc.d9","o36.r62.x","female","hypothalamus","m.inc.d9","nest","early","female.hypothalamus.m.inc.d9","manipulation"
"358","o36.r62.x_female_pituitary_m.inc.d9","o36.r62.x","female","pituitary","m.inc.d9","nest","early","female.pituitary.m.inc.d9","manipulation"
"359","o38.blu29.x_female_gonad_bldg","o38.blu29.x","female","gonads","bldg","nest","early","female.gonads.bldg","charcterization"
"360","o38.blu29.x_female_hypothalamus_bldg","o38.blu29.x","female","hypothalamus","bldg","nest","early","female.hypothalamus.bldg","charcterization"
"361","o38.blu29.x_female_pituitary_bldg","o38.blu29.x","female","pituitary","bldg","nest","early","female.pituitary.bldg","charcterization"
"362","o39.y77.x_male_gonad_hatch","o39.y77.x","male","gonads","hatch","chicks","late","male.gonads.hatch","charcterization"
"363","o39.y77.x_male_hypothalamus_hatch","o39.y77.x","male","hypothalamus","hatch","chicks","late","male.hypothalamus.hatch","charcterization"
"364","o39.y77.x_male_pituitary_hatch","o39.y77.x","male","pituitary","hatch","chicks","late","male.pituitary.hatch","charcterization"
"365","o44.blu26.x_male_gonad_hatch","o44.blu26.x","male","gonads","hatch","chicks","late","male.gonads.hatch","charcterization"
"366","o44.blu26.x_male_hypothalamus_hatch","o44.blu26.x","male","hypothalamus","hatch","chicks","late","male.hypothalamus.hatch","charcterization"
"367","o44.blu26.x_male_pituitary_hatch","o44.blu26.x","male","pituitary","hatch","chicks","late","male.pituitary.hatch","charcterization"
"368","o45.g128.x_female_gonad_m.inc.d9.NYNO","o45.g128.x","female","gonads","m.inc.d9","nest","early","female.gonads.m.inc.d9","manipulation"
"369","o45.g128.x_female_hypothalamus_m.inc.d9","o45.g128.x","female","hypothalamus","m.inc.d9","nest","early","female.hypothalamus.m.inc.d9","manipulation"
"370","o45.g128.x_female_pituitary_m.inc.d9","o45.g128.x","female","pituitary","m.inc.d9","nest","early","female.pituitary.m.inc.d9","manipulation"
"371","o48.r197.x_male_gonad_inc.d3","o48.r197.x","male","gonads","inc.d3","eggs","early","male.gonads.inc.d3","charcterization"
"372","o48.r197.x_male_hypothalamus_inc.d3","o48.r197.x","male","hypothalamus","inc.d3","eggs","early","male.hypothalamus.inc.d3","charcterization"
"373","o48.r197.x_male_pituitary_inc.d3","o48.r197.x","male","pituitary","inc.d3","eggs","early","male.pituitary.inc.d3","charcterization"
"374","o49.x_male_gonad_inc.d9","o49.x","male","gonads","inc.d9","eggs","early","male.gonads.inc.d9","charcterization"
"375","o49.x_male_hypothalamus_inc.d9","o49.x","male","hypothalamus","inc.d9","eggs","early","male.hypothalamus.inc.d9","charcterization"
"376","o49.x_male_pituitary_inc.d9","o49.x","male","pituitary","inc.d9","eggs","early","male.pituitary.inc.d9","charcterization"
"377","o52.blu53_female_gonad_inc.d17","o52.blu53","female","gonads","inc.d17","eggs","late","female.gonads.inc.d17","charcterization"
"378","o52.blu53_female_hypothalamus_inc.d17","o52.blu53","female","hypothalamus","inc.d17","eggs","late","female.hypothalamus.inc.d17","charcterization"
"379","o52.blu53_female_pituitary_inc.d17","o52.blu53","female","pituitary","inc.d17","eggs","late","female.pituitary.inc.d17","charcterization"
"380","o57.g59_male_gonad_inc.d9","o57.g59","male","gonads","inc.d9","eggs","early","male.gonads.inc.d9","charcterization"
"381","o57.g59_male_hypothalamus_inc.d9","o57.g59","male","hypothalamus","inc.d9","eggs","early","male.hypothalamus.inc.d9","charcterization"
"382","o57.g59_male_pituitary_inc.d9","o57.g59","male","pituitary","inc.d9","eggs","early","male.pituitary.inc.d9","charcterization"
"383","o59.blu64_male_gonad_m.inc.d17","o59.blu64","male","gonads","m.inc.d17","nest","late","male.gonads.m.inc.d17","manipulation"
"384","o59.blu64_male_hypothalamus_m.inc.d17","o59.blu64","male","hypothalamus","m.inc.d17","nest","late","male.hypothalamus.m.inc.d17","manipulation"
"385","o59.blu64_male_pituitary_m.inc.d17","o59.blu64","male","pituitary","m.inc.d17","nest","late","male.pituitary.m.inc.d17","manipulation"
"386","o73.x_female_gonad_inc.d9","o73.x","female","gonads","inc.d9","eggs","early","female.gonads.inc.d9","charcterization"
"387","o73.x_female_hypothalamus_inc.d9","o73.x","female","hypothalamus","inc.d9","eggs","early","female.hypothalamus.inc.d9","charcterization"
"388","o73.x_female_pituitary_inc.d9","o73.x","female","pituitary","inc.d9","eggs","early","female.pituitary.inc.d9","charcterization"
"389","p.g.blk.s040_female_gonad_m.inc.d8","p.g.blk.s040","female","gonads","early","chicks","early","female.gonads.early","charcterization"
"390","p.g.blk.s040_female_hypothalamus_m.inc.d8","p.g.blk.s040","female","hypothalamus","early","chicks","early","female.hypothalamus.early","charcterization"
"391","p.g.blk.s040_female_pituitary_m.inc.d8","p.g.blk.s040","female","pituitary","early","chicks","early","female.pituitary.early","charcterization"
"392","pk.s.d.g_male_gonad_prolong","pk.s.d.g","male","gonads","prolong","eggs","late","male.gonads.prolong","manipulation"
"393","pk.s.d.g_male_hypothalamus_prolong","pk.s.d.g","male","hypothalamus","prolong","eggs","late","male.hypothalamus.prolong","manipulation"
"394","pk.s.d.g_male_pituitary_prolong","pk.s.d.g","male","pituitary","prolong","eggs","late","male.pituitary.prolong","manipulation"
"395","pk.s011.o.y_female_gonad_m.inc.d17","pk.s011.o.y","female","gonads","m.inc.d17","nest","late","female.gonads.m.inc.d17","manipulation"
"396","pk.s011.o.y_female_hypothalamus_m.inc.d17","pk.s011.o.y","female","hypothalamus","m.inc.d17","nest","late","female.hypothalamus.m.inc.d17","manipulation"
"397","pk.s011.o.y_female_pituitary_m.inc.d17","pk.s011.o.y","female","pituitary","m.inc.d17","nest","late","female.pituitary.m.inc.d17","manipulation"
"398","pk.s054.d.g_female_gonad_m.hatch","pk.s054.d.g","female","gonads","m.n2","nest","late","female.gonads.m.n2","manipulation"
"399","pk.s054.d.g_female_hypothalamus_m.hatch","pk.s054.d.g","female","hypothalamus","m.n2","nest","late","female.hypothalamus.m.n2","manipulation"
"400","pk.s054.d.g_female_pituitary_m.hatch","pk.s054.d.g","female","pituitary","m.n2","nest","late","female.pituitary.m.n2","manipulation"
"401","pk.s055.d.l_female_gonad_m.inc.d8","pk.s055.d.l","female","gonads","early","chicks","early","female.gonads.early","charcterization"
"402","pk.s055.d.l_female_hypothalamus_m.inc.d8","pk.s055.d.l","female","hypothalamus","early","chicks","early","female.hypothalamus.early","charcterization"
"403","pk.s055.d.l_female_pituitary_m.inc.d8","pk.s055.d.l","female","pituitary","early","chicks","early","female.pituitary.early","charcterization"
"404","pk.s238.blk.w_male_gonad_lay","pk.s238.blk.w","male","gonads","lay","eggs","early","male.gonads.lay","charcterization"
"405","pk.s238.blk.w_male_hypothalamus_lay","pk.s238.blk.w","male","hypothalamus","lay","eggs","early","male.hypothalamus.lay","charcterization"
"406","pk.s238.blk.w_male_pituitary_lay","pk.s238.blk.w","male","pituitary","lay","eggs","early","male.pituitary.lay","charcterization"
"407","pk.w.s141.o_male_gonad_lay","pk.w.s141.o","male","gonads","lay","eggs","early","male.gonads.lay","charcterization"
"408","pk.w.s141.o_male_hypothalamus_lay","pk.w.s141.o","male","hypothalamus","lay","eggs","early","male.hypothalamus.lay","charcterization"
"409","pk.w.s141.o_male_pituitary_lay","pk.w.s141.o","male","pituitary","lay","eggs","early","male.pituitary.lay","charcterization"
"410","pu.blk.s102.y_male_gonad_m.inc.d8","pu.blk.s102.y","male","gonads","early","chicks","early","male.gonads.early","charcterization"
"411","pu.blk.s102.y_male_hypothalamus_m.inc.d8","pu.blk.s102.y","male","hypothalamus","early","chicks","early","male.hypothalamus.early","charcterization"
"412","pu.blk.s102.y_male_pituitary_m.inc.d8","pu.blk.s102.y","male","pituitary","early","chicks","early","male.pituitary.early","charcterization"
