"","V1","bird","sex","tissue","treatment","group","study"
"o165.w122.x_female_hypothalamus_inc.d3","o165.w122.x_female_hypothalamus_inc.d3","o165.w122.x","female","hypothalamus","inc.d3","female.hypothalamus.inc.d3","charcterization"
"o165.w122.x_female_pituitary_inc.d3.NYNO","o165.w122.x_female_pituitary_inc.d3.NYNO","o165.w122.x","female","pituitary","inc.d3","female.pituitary.inc.d3","charcterization"
"o172.w115.x_female_gonad_hatch","o172.w115.x_female_gonad_hatch","o172.w115.x","female","gonad","hatch","female.gonad.hatch","charcterization"
"o172.w115.x_female_hypothalamus_hatch","o172.w115.x_female_hypothalamus_hatch","o172.w115.x","female","hypothalamus","hatch","female.hypothalamus.hatch","charcterization"
"o172.w115.x_female_pituitary_hatch.NYNO","o172.w115.x_female_pituitary_hatch.NYNO","o172.w115.x","female","pituitary","hatch","female.pituitary.hatch","charcterization"
"o173.w179.x_female_gonad_inc.d3","o173.w179.x_female_gonad_inc.d3","o173.w179.x","female","gonad","inc.d3","female.gonad.inc.d3","charcterization"
"o173.w179.x_female_hypothalamus_inc.d3","o173.w179.x_female_hypothalamus_inc.d3","o173.w179.x","female","hypothalamus","inc.d3","female.hypothalamus.inc.d3","charcterization"
"o173.w179.x_female_pituitary_inc.d3","o173.w179.x_female_pituitary_inc.d3","o173.w179.x","female","pituitary","inc.d3","female.pituitary.inc.d3","charcterization"
"o35.r51.x_female_gonad_inc.d17","o35.r51.x_female_gonad_inc.d17","o35.r51.x","female","gonad","inc.d17","female.gonad.inc.d17","charcterization"
"o35.r51.x_female_hypothalamus_inc.d17","o35.r51.x_female_hypothalamus_inc.d17","o35.r51.x","female","hypothalamus","inc.d17","female.hypothalamus.inc.d17","charcterization"
"o35.r51.x_female_pituitary_inc.d17","o35.r51.x_female_pituitary_inc.d17","o35.r51.x","female","pituitary","inc.d17","female.pituitary.inc.d17","charcterization"
"o38.blu29.x_female_gonad_bldg","o38.blu29.x_female_gonad_bldg","o38.blu29.x","female","gonad","bldg","female.gonad.bldg","charcterization"
"o38.blu29.x_female_hypothalamus_bldg","o38.blu29.x_female_hypothalamus_bldg","o38.blu29.x","female","hypothalamus","bldg","female.hypothalamus.bldg","charcterization"
"o38.blu29.x_female_pituitary_bldg","o38.blu29.x_female_pituitary_bldg","o38.blu29.x","female","pituitary","bldg","female.pituitary.bldg","charcterization"
"o39.y77.x_male_gonad_hatch","o39.y77.x_male_gonad_hatch","o39.y77.x","male","gonad","hatch","male.gonad.hatch","charcterization"
"o39.y77.x_male_hypothalamus_hatch","o39.y77.x_male_hypothalamus_hatch","o39.y77.x","male","hypothalamus","hatch","male.hypothalamus.hatch","charcterization"
"o39.y77.x_male_pituitary_hatch","o39.y77.x_male_pituitary_hatch","o39.y77.x","male","pituitary","hatch","male.pituitary.hatch","charcterization"
"o44.blu26.x_male_gonad_hatch","o44.blu26.x_male_gonad_hatch","o44.blu26.x","male","gonad","hatch","male.gonad.hatch","charcterization"
"o44.blu26.x_male_hypothalamus_hatch","o44.blu26.x_male_hypothalamus_hatch","o44.blu26.x","male","hypothalamus","hatch","male.hypothalamus.hatch","charcterization"
"o44.blu26.x_male_pituitary_hatch","o44.blu26.x_male_pituitary_hatch","o44.blu26.x","male","pituitary","hatch","male.pituitary.hatch","charcterization"
"o48.r197.x_male_gonad_inc.d3","o48.r197.x_male_gonad_inc.d3","o48.r197.x","male","gonad","inc.d3","male.gonad.inc.d3","charcterization"
"o48.r197.x_male_hypothalamus_inc.d3","o48.r197.x_male_hypothalamus_inc.d3","o48.r197.x","male","hypothalamus","inc.d3","male.hypothalamus.inc.d3","charcterization"
"o48.r197.x_male_pituitary_inc.d3","o48.r197.x_male_pituitary_inc.d3","o48.r197.x","male","pituitary","inc.d3","male.pituitary.inc.d3","charcterization"
"o49.x_male_gonad_inc.d9","o49.x_male_gonad_inc.d9","o49.x","male","gonad","inc.d9","male.gonad.inc.d9","charcterization"
"o49.x_male_hypothalamus_inc.d9","o49.x_male_hypothalamus_inc.d9","o49.x","male","hypothalamus","inc.d9","male.hypothalamus.inc.d9","charcterization"
"o49.x_male_pituitary_inc.d9","o49.x_male_pituitary_inc.d9","o49.x","male","pituitary","inc.d9","male.pituitary.inc.d9","charcterization"
"o52.blu53_female_gonad_inc.d17","o52.blu53_female_gonad_inc.d17","o52.blu53","female","gonad","inc.d17","female.gonad.inc.d17","charcterization"
"o52.blu53_female_hypothalamus_inc.d17","o52.blu53_female_hypothalamus_inc.d17","o52.blu53","female","hypothalamus","inc.d17","female.hypothalamus.inc.d17","charcterization"
"o52.blu53_female_pituitary_inc.d17","o52.blu53_female_pituitary_inc.d17","o52.blu53","female","pituitary","inc.d17","female.pituitary.inc.d17","charcterization"
"o57.g59_male_gonad_inc.d9","o57.g59_male_gonad_inc.d9","o57.g59","male","gonad","inc.d9","male.gonad.inc.d9","charcterization"
"o57.g59_male_hypothalamus_inc.d9","o57.g59_male_hypothalamus_inc.d9","o57.g59","male","hypothalamus","inc.d9","male.hypothalamus.inc.d9","charcterization"
"o57.g59_male_pituitary_inc.d9","o57.g59_male_pituitary_inc.d9","o57.g59","male","pituitary","inc.d9","male.pituitary.inc.d9","charcterization"
"o73.x_female_gonad_inc.d9","o73.x_female_gonad_inc.d9","o73.x","female","gonad","inc.d9","female.gonad.inc.d9","charcterization"
"o73.x_female_hypothalamus_inc.d9","o73.x_female_hypothalamus_inc.d9","o73.x","female","hypothalamus","inc.d9","female.hypothalamus.inc.d9","charcterization"
"o73.x_female_pituitary_inc.d9","o73.x_female_pituitary_inc.d9","o73.x","female","pituitary","inc.d9","female.pituitary.inc.d9","charcterization"
"pk.s238.blk.w_male_gonad_lay","pk.s238.blk.w_male_gonad_lay","pk.s238.blk.w","male","gonad","lay","male.gonad.lay","charcterization"
"pk.s238.blk.w_male_hypothalamus_lay","pk.s238.blk.w_male_hypothalamus_lay","pk.s238.blk.w","male","hypothalamus","lay","male.hypothalamus.lay","charcterization"
"pk.s238.blk.w_male_pituitary_lay","pk.s238.blk.w_male_pituitary_lay","pk.s238.blk.w","male","pituitary","lay","male.pituitary.lay","charcterization"
"pk.w.s141.o_male_gonad_lay","pk.w.s141.o_male_gonad_lay","pk.w.s141.o","male","gonad","lay","male.gonad.lay","charcterization"
"pk.w.s141.o_male_hypothalamus_lay","pk.w.s141.o_male_hypothalamus_lay","pk.w.s141.o","male","hypothalamus","lay","male.hypothalamus.lay","charcterization"
"pk.w.s141.o_male_pituitary_lay","pk.w.s141.o_male_pituitary_lay","pk.w.s141.o","male","pituitary","lay","male.pituitary.lay","charcterization"
"r.r.x.ATLAS.R2XR_female_gonad_control","r.r.x.ATLAS.R2XR_female_gonad_control","r.r.x.ATLAS.R2XR","female","gonad","control","female.gonad.control","charcterization"
"r.r.x.ATLAS.R2XR_female_hypothalamus_control","r.r.x.ATLAS.R2XR_female_hypothalamus_control","r.r.x.ATLAS.R2XR","female","hypothalamus","control","female.hypothalamus.control","charcterization"
"r.r.x.ATLAS.R2XR_female_pituitary_control","r.r.x.ATLAS.R2XR_female_pituitary_control","r.r.x.ATLAS.R2XR","female","pituitary","control","female.pituitary.control","charcterization"
"r.r.x.ATLAS_female_gonad_control","r.r.x.ATLAS_female_gonad_control","r.r.x.ATLAS","female","gonad","control","female.gonad.control","charcterization"
"r.r.x.ATLAS_female_hypothalamus_control","r.r.x.ATLAS_female_hypothalamus_control","r.r.x.ATLAS","female","hypothalamus","control","female.hypothalamus.control","charcterization"
"r.r.x.ATLAS_female_pituitary_control","r.r.x.ATLAS_female_pituitary_control","r.r.x.ATLAS","female","pituitary","control","female.pituitary.control","charcterization"
"r.s005.pk.blk_male_gonad_lay","r.s005.pk.blk_male_gonad_lay","r.s005.pk.blk","male","gonad","lay","male.gonad.lay","charcterization"
"r.s005.pk.blk_male_hypothalamus_lay","r.s005.pk.blk_male_hypothalamus_lay","r.s005.pk.blk","male","hypothalamus","lay","male.hypothalamus.lay","charcterization"
"r.s005.pk.blk_male_pituitary_lay","r.s005.pk.blk_male_pituitary_lay","r.s005.pk.blk","male","pituitary","lay","male.pituitary.lay","charcterization"
"r.s056.g.o_female_gonad_bldg","r.s056.g.o_female_gonad_bldg","r.s056.g.o","female","gonad","bldg","female.gonad.bldg","charcterization"
"r.s056.g.o_female_hypothalamus_bldg","r.s056.g.o_female_hypothalamus_bldg","r.s056.g.o","female","hypothalamus","bldg","female.hypothalamus.bldg","charcterization"
"r.s056.g.o_female_pituitary_bldg","r.s056.g.o_female_pituitary_bldg","r.s056.g.o","female","pituitary","bldg","female.pituitary.bldg","charcterization"
"r.s059.d.o_male_gonad_bldg","r.s059.d.o_male_gonad_bldg","r.s059.d.o","male","gonad","bldg","male.gonad.bldg","charcterization"
"r.s059.d.o_male_hypothalamus_bldg","r.s059.d.o_male_hypothalamus_bldg","r.s059.d.o","male","hypothalamus","bldg","male.hypothalamus.bldg","charcterization"
"r.s059.d.o_male_pituitary_bldg","r.s059.d.o_male_pituitary_bldg","r.s059.d.o","male","pituitary","bldg","male.pituitary.bldg","charcterization"
"r.s116.blk.pu_male_gonad_lay","r.s116.blk.pu_male_gonad_lay","r.s116.blk.pu","male","gonad","lay","male.gonad.lay","charcterization"
"r.s116.blk.pu_male_hypothalamus_lay","r.s116.blk.pu_male_hypothalamus_lay","r.s116.blk.pu","male","hypothalamus","lay","male.hypothalamus.lay","charcterization"
"r.s116.blk.pu_male_pituitary_lay","r.s116.blk.pu_male_pituitary_lay","r.s116.blk.pu","male","pituitary","lay","male.pituitary.lay","charcterization"
"r.s171.l.w_female_gonad_n9","r.s171.l.w_female_gonad_n9","r.s171.l.w","female","gonad","n9","female.gonad.n9","charcterization"
"r.s171.l.w_female_hypothalamus_n9","r.s171.l.w_female_hypothalamus_n9","r.s171.l.w","female","hypothalamus","n9","female.hypothalamus.n9","charcterization"
"r.s171.l.w_female_pituitary_n9","r.s171.l.w_female_pituitary_n9","r.s171.l.w","female","pituitary","n9","female.pituitary.n9","charcterization"
"r.y.s007.blk_male_gonad_n9","r.y.s007.blk_male_gonad_n9","r.y.s007.blk","male","gonad","n9","male.gonad.n9","charcterization"
"r.y.s007.blk_male_hypothalamus_n9","r.y.s007.blk_male_hypothalamus_n9","r.y.s007.blk","male","hypothalamus","n9","male.hypothalamus.n9","charcterization"
"r.y.s007.blk_male_pituitary_n9","r.y.s007.blk_male_pituitary_n9","r.y.s007.blk","male","pituitary","n9","male.pituitary.n9","charcterization"
"r176.blu54_male_gonad_inc.d17","r176.blu54_male_gonad_inc.d17","r176.blu54","male","gonad","inc.d17","male.gonad.inc.d17","charcterization"
"r176.blu54_male_hypothalamus_inc.d17","r176.blu54_male_hypothalamus_inc.d17","r176.blu54","male","hypothalamus","inc.d17","male.hypothalamus.inc.d17","charcterization"
"r176.blu54_male_pituitary_inc.d17","r176.blu54_male_pituitary_inc.d17","r176.blu54","male","pituitary","inc.d17","male.pituitary.inc.d17","charcterization"
"r183.o22_female_gonad_hatch","r183.o22_female_gonad_hatch","r183.o22","female","gonad","hatch","female.gonad.hatch","charcterization"
"r183.o22_female_hypothalamus_hatch","r183.o22_female_hypothalamus_hatch","r183.o22","female","hypothalamus","hatch","female.hypothalamus.hatch","charcterization"
"r183.o22_female_pituitary_hatch","r183.o22_female_pituitary_hatch","r183.o22","female","pituitary","hatch","female.pituitary.hatch","charcterization"
"r190.o43.x_male_gonad_lay","r190.o43.x_male_gonad_lay","r190.o43.x","male","gonad","lay","male.gonad.lay","charcterization"
"r190.o43.x_male_hypothalamus_lay","r190.o43.x_male_hypothalamus_lay","r190.o43.x","male","hypothalamus","lay","male.hypothalamus.lay","charcterization"
"r190.o43.x_male_pituitary_lay","r190.o43.x_male_pituitary_lay","r190.o43.x","male","pituitary","lay","male.pituitary.lay","charcterization"
"r195.x_male_gonad_n9","r195.x_male_gonad_n9","r195.x","male","gonad","n9","male.gonad.n9","charcterization"
"r195.x_male_hypothalamus_n9","r195.x_male_hypothalamus_n9","r195.x","male","hypothalamus","n9","male.hypothalamus.n9","charcterization"
"r195.x_male_pituitary_n9","r195.x_male_pituitary_n9","r195.x","male","pituitary","n9","male.pituitary.n9","charcterization"
"r27.w111.blu125_female_gonad_inc.d3","r27.w111.blu125_female_gonad_inc.d3","r27.w111.blu125","female","gonad","inc.d3","female.gonad.inc.d3","charcterization"
"r27.w111.blu125_female_hypothalamus_inc.d3","r27.w111.blu125_female_hypothalamus_inc.d3","r27.w111.blu125","female","hypothalamus","inc.d3","female.hypothalamus.inc.d3","charcterization"
"r27.w111.blu125_female_pituitary_inc.d3","r27.w111.blu125_female_pituitary_inc.d3","r27.w111.blu125","female","pituitary","inc.d3","female.pituitary.inc.d3","charcterization"
"r30.w112.r46_female_gonad_inc.d9","r30.w112.r46_female_gonad_inc.d9","r30.w112.r46","female","gonad","inc.d9","female.gonad.inc.d9","charcterization"
"r30.w112.r46_female_hypothalamus_inc.d9","r30.w112.r46_female_hypothalamus_inc.d9","r30.w112.r46","female","hypothalamus","inc.d9","female.hypothalamus.inc.d9","charcterization"
"r30.w112.r46_female_pituitary_inc.d9","r30.w112.r46_female_pituitary_inc.d9","r30.w112.r46","female","pituitary","inc.d9","female.pituitary.inc.d9","charcterization"
"r36.w184.x_female_gonad_inc.d9","r36.w184.x_female_gonad_inc.d9","r36.w184.x","female","gonad","inc.d9","female.gonad.inc.d9","charcterization"
"r36.w184.x_female_hypothalamus_inc.d9","r36.w184.x_female_hypothalamus_inc.d9","r36.w184.x","female","hypothalamus","inc.d9","female.hypothalamus.inc.d9","charcterization"
"r36.w184.x_female_pituitary_inc.d9","r36.w184.x_female_pituitary_inc.d9","r36.w184.x","female","pituitary","inc.d9","female.pituitary.inc.d9","charcterization"
"r37.w100.x_male_gonad_n9","r37.w100.x_male_gonad_n9","r37.w100.x","male","gonad","n9","male.gonad.n9","charcterization"
"r37.w100.x_male_hypothalamus_n9","r37.w100.x_male_hypothalamus_n9","r37.w100.x","male","hypothalamus","n9","male.hypothalamus.n9","charcterization"
"r37.w100.x_male_pituitary_n9","r37.w100.x_male_pituitary_n9","r37.w100.x","male","pituitary","n9","male.pituitary.n9","charcterization"
"r41.w99.x_male_gonad_hatch","r41.w99.x_male_gonad_hatch","r41.w99.x","male","gonad","hatch","male.gonad.hatch","charcterization"
"r41.w99.x_male_hypothalamus_hatch","r41.w99.x_male_hypothalamus_hatch","r41.w99.x","male","hypothalamus","hatch","male.hypothalamus.hatch","charcterization"
"r41.w99.x_male_pituitary_hatch","r41.w99.x_male_pituitary_hatch","r41.w99.x","male","pituitary","hatch","male.pituitary.hatch","charcterization"
"r45.X_male_gonad_inc.d9","r45.X_male_gonad_inc.d9","r45.X","male","gonad","inc.d9","male.gonad.inc.d9","charcterization"
"r45.X_male_pituitary_inc.d9","r45.X_male_pituitary_inc.d9","r45.X","male","pituitary","inc.d9","male.pituitary.inc.d9","charcterization"
"r45.x_male_hypothalamus_inc.d9","r45.x_male_hypothalamus_inc.d9","r45.x","male","hypothalamus","inc.d9","male.hypothalamus.inc.d9","charcterization"
"r49.w189.x_female_gonad_inc.d17","r49.w189.x_female_gonad_inc.d17","r49.w189.x","female","gonad","inc.d17","female.gonad.inc.d17","charcterization"
"r49.w189.x_female_hypothalamus_inc.d17","r49.w189.x_female_hypothalamus_inc.d17","r49.w189.x","female","hypothalamus","inc.d17","female.hypothalamus.inc.d17","charcterization"
"r49.w189.x_female_pituitary_inc.d17","r49.w189.x_female_pituitary_inc.d17","r49.w189.x","female","pituitary","inc.d17","female.pituitary.inc.d17","charcterization"
"r6.x_female_gonad_control.NYNO","r6.x_female_gonad_control.NYNO","r6.x","female","gonad","control","female.gonad.control","charcterization"
"r6.x_female_hypothalamus_control.NYNO","r6.x_female_hypothalamus_control.NYNO","r6.x","female","hypothalamus","control","female.hypothalamus.control","charcterization"
"r6.x_female_pituitary_control","r6.x_female_pituitary_control","r6.x","female","pituitary","control","female.pituitary.control","charcterization"
"r72.y83.x_male_gonad_hatch","r72.y83.x_male_gonad_hatch","r72.y83.x","male","gonad","hatch","male.gonad.hatch","charcterization"
"r72.y83.x_male_hypothalamus_hatch","r72.y83.x_male_hypothalamus_hatch","r72.y83.x","male","hypothalamus","hatch","male.hypothalamus.hatch","charcterization"
"r72.y83.x_male_pituitary_hatch","r72.y83.x_male_pituitary_hatch","r72.y83.x","male","pituitary","hatch","male.pituitary.hatch","charcterization"
"r73.g127.x_female_gonad_inc.d3","r73.g127.x_female_gonad_inc.d3","r73.g127.x","female","gonad","inc.d3","female.gonad.inc.d3","charcterization"
"r73.g127.x_female_hypothalamus_inc.d3","r73.g127.x_female_hypothalamus_inc.d3","r73.g127.x","female","hypothalamus","inc.d3","female.hypothalamus.inc.d3","charcterization"
"r73.g127.x_female_pituitary_inc.d3","r73.g127.x_female_pituitary_inc.d3","r73.g127.x","female","pituitary","inc.d3","female.pituitary.inc.d3","charcterization"
"r83.g45_female_gonad_bldg","r83.g45_female_gonad_bldg","r83.g45","female","gonad","bldg","female.gonad.bldg","charcterization"
"r83.g45_female_hypothalamus_bldg","r83.g45_female_hypothalamus_bldg","r83.g45","female","hypothalamus","bldg","female.hypothalamus.bldg","charcterization"
"r83.g45_female_pituitary_bldg","r83.g45_female_pituitary_bldg","r83.g45","female","pituitary","bldg","female.pituitary.bldg","charcterization"
"r95.blu99_female_gonad_n9","r95.blu99_female_gonad_n9","r95.blu99","female","gonad","n9","female.gonad.n9","charcterization"
"r95.blu99_female_hypothalamus_n9","r95.blu99_female_hypothalamus_n9","r95.blu99","female","hypothalamus","n9","female.hypothalamus.n9","charcterization"
"r95.blu99_female_pituitary_n9","r95.blu99_female_pituitary_n9","r95.blu99","female","pituitary","n9","female.pituitary.n9","charcterization"
"s.o.pk_female_gonad_lay","s.o.pk_female_gonad_lay","s.o.pk","female","gonad","lay","female.gonad.lay","charcterization"
"s.o.pk_female_hypothalamus_lay","s.o.pk_female_hypothalamus_lay","s.o.pk","female","hypothalamus","lay","female.hypothalamus.lay","charcterization"
"s.o.pk_female_pituitary_lay","s.o.pk_female_pituitary_lay","s.o.pk","female","pituitary","lay","female.pituitary.lay","charcterization"
"s.pu148.blk.r_male_gonad_bldg","s.pu148.blk.r_male_gonad_bldg","s.pu148.blk.r","male","gonad","bldg","male.gonad.bldg","charcterization"
"s.pu148.blk.r_male_hypothalamus_bldg","s.pu148.blk.r_male_hypothalamus_bldg","s.pu148.blk.r","male","hypothalamus","bldg","male.hypothalamus.bldg","charcterization"
"s.pu148.blk.r_male_pituitary_bldg","s.pu148.blk.r_male_pituitary_bldg","s.pu148.blk.r","male","pituitary","bldg","male.pituitary.bldg","charcterization"
"s.x.ATLAS_female_gonad_control","s.x.ATLAS_female_gonad_control","s.x.ATLAS","female","gonad","control","female.gonad.control","charcterization"
"s.x.ATLAS_female_hypothalamus_control","s.x.ATLAS_female_hypothalamus_control","s.x.ATLAS","female","hypothalamus","control","female.hypothalamus.control","charcterization"
"s.x.ATLAS_female_pituitary_control","s.x.ATLAS_female_pituitary_control","s.x.ATLAS","female","pituitary","control","female.pituitary.control","charcterization"
"s063.d.blk.l_female_gonad_bldg","s063.d.blk.l_female_gonad_bldg","s063.d.blk.l","female","gonad","bldg","female.gonad.bldg","charcterization"
"s063.d.blk.l_female_hypothalamus_bldg","s063.d.blk.l_female_hypothalamus_bldg","s063.d.blk.l","female","hypothalamus","bldg","female.hypothalamus.bldg","charcterization"
"s063.d.blk.l_female_pituitary_bldg","s063.d.blk.l_female_pituitary_bldg","s063.d.blk.l","female","pituitary","bldg","female.pituitary.bldg","charcterization"
"s065.l.d.o_male_gonad_bldg","s065.l.d.o_male_gonad_bldg","s065.l.d.o","male","gonad","bldg","male.gonad.bldg","charcterization"
"s065.l.d.o_male_hypothalamus_bldg","s065.l.d.o_male_hypothalamus_bldg","s065.l.d.o","male","hypothalamus","bldg","male.hypothalamus.bldg","charcterization"
"s065.l.d.o_male_pituitary_bldg","s065.l.d.o_male_pituitary_bldg","s065.l.d.o","male","pituitary","bldg","male.pituitary.bldg","charcterization"
"s066.l.d.r_male_gonad_bldg","s066.l.d.r_male_gonad_bldg","s066.l.d.r","male","gonad","bldg","male.gonad.bldg","charcterization"
"s066.l.d.r_male_hypothalamus_bldg","s066.l.d.r_male_hypothalamus_bldg","s066.l.d.r","male","hypothalamus","bldg","male.hypothalamus.bldg","charcterization"
"s066.l.d.r_male_pituitary_bldg","s066.l.d.r_male_pituitary_bldg","s066.l.d.r","male","pituitary","bldg","male.pituitary.bldg","charcterization"
"s092.blk.r.o_female_gonad_bldg","s092.blk.r.o_female_gonad_bldg","s092.blk.r.o","female","gonad","bldg","female.gonad.bldg","charcterization"
"s092.blk.r.o_female_hypothalamus_bldg","s092.blk.r.o_female_hypothalamus_bldg","s092.blk.r.o","female","hypothalamus","bldg","female.hypothalamus.bldg","charcterization"
"s092.blk.r.o_female_pituitary_bldg","s092.blk.r.o_female_pituitary_bldg","s092.blk.r.o","female","pituitary","bldg","female.pituitary.bldg","charcterization"
"s095.g.blk.o_female_gonad_lay","s095.g.blk.o_female_gonad_lay","s095.g.blk.o","female","gonad","lay","female.gonad.lay","charcterization"
"s095.g.blk.o_female_hypothalamus_lay","s095.g.blk.o_female_hypothalamus_lay","s095.g.blk.o","female","hypothalamus","lay","female.hypothalamus.lay","charcterization"
"s095.g.blk.o_female_pituitary_lay","s095.g.blk.o_female_pituitary_lay","s095.g.blk.o","female","pituitary","lay","female.pituitary.lay","charcterization"
"s136.d.w.o_female_gonad_lay","s136.d.w.o_female_gonad_lay","s136.d.w.o","female","gonad","lay","female.gonad.lay","charcterization"
"s136.d.w.o_female_hypothalamus_lay","s136.d.w.o_female_hypothalamus_lay","s136.d.w.o","female","hypothalamus","lay","female.hypothalamus.lay","charcterization"
"s136.d.w.o_female_pituitary_lay","s136.d.w.o_female_pituitary_lay","s136.d.w.o","female","pituitary","lay","female.pituitary.lay","charcterization"
"s142.o.pk.pu_female_gonad_lay","s142.o.pk.pu_female_gonad_lay","s142.o.pk.pu","female","gonad","lay","female.gonad.lay","charcterization"
"s142.o.pk.pu_female_hypothalamus_lay","s142.o.pk.pu_female_hypothalamus_lay","s142.o.pk.pu","female","hypothalamus","lay","female.hypothalamus.lay","charcterization"
"s142.o.pk.pu_female_pituitary_lay","s142.o.pk.pu_female_pituitary_lay","s142.o.pk.pu","female","pituitary","lay","female.pituitary.lay","charcterization"
"s150.w.g.blk_male_gonad_lay","s150.w.g.blk_male_gonad_lay","s150.w.g.blk","male","gonad","lay","male.gonad.lay","charcterization"
"s150.w.g.blk_male_hypothalamus_lay","s150.w.g.blk_male_hypothalamus_lay","s150.w.g.blk","male","hypothalamus","lay","male.hypothalamus.lay","charcterization"
"s150.w.g.blk_male_pituitary_lay","s150.w.g.blk_male_pituitary_lay","s150.w.g.blk","male","pituitary","lay","male.pituitary.lay","charcterization"
"s176.blk.pu.r_female_gonad_lay","s176.blk.pu.r_female_gonad_lay","s176.blk.pu.r","female","gonad","lay","female.gonad.lay","charcterization"
"s176.blk.pu.r_female_hypothalamus_lay","s176.blk.pu.r_female_hypothalamus_lay","s176.blk.pu.r","female","hypothalamus","lay","female.hypothalamus.lay","charcterization"
"s176.blk.pu.r_female_pituitary_lay","s176.blk.pu.r_female_pituitary_lay","s176.blk.pu.r","female","pituitary","lay","female.pituitary.lay","charcterization"
"s187.l.o.r_male_gonad_n9","s187.l.o.r_male_gonad_n9","s187.l.o.r","male","gonad","n9","male.gonad.n9","charcterization"
"s187.l.o.r_male_hypothalamus_n9","s187.l.o.r_male_hypothalamus_n9","s187.l.o.r","male","hypothalamus","n9","male.hypothalamus.n9","charcterization"
"s187.l.o.r_male_pituitary_n9","s187.l.o.r_male_pituitary_n9","s187.l.o.r","male","pituitary","n9","male.pituitary.n9","charcterization"
"s243.blk.pk.r_male_gonad_lay","s243.blk.pk.r_male_gonad_lay","s243.blk.pk.r","male","gonad","lay","male.gonad.lay","charcterization"
"s243.blk.pk.r_male_hypothalamus_lay","s243.blk.pk.r_male_hypothalamus_lay","s243.blk.pk.r","male","hypothalamus","lay","male.hypothalamus.lay","charcterization"
"s243.blk.pk.r_male_pituitary_lay","s243.blk.pk.r_male_pituitary_lay","s243.blk.pk.r","male","pituitary","lay","male.pituitary.lay","charcterization"
"w191.r1_female_gonad_control","w191.r1_female_gonad_control","w191.r1","female","gonad","control","female.gonad.control","charcterization"
"w191.r1_female_hypothalamus_control","w191.r1_female_hypothalamus_control","w191.r1","female","hypothalamus","control","female.hypothalamus.control","charcterization"
"w191.r1_female_pituitary_control","w191.r1_female_pituitary_control","w191.r1","female","pituitary","control","female.pituitary.control","charcterization"
"w34.x_male_gonad_inc.d9","w34.x_male_gonad_inc.d9","w34.x","male","gonad","inc.d9","male.gonad.inc.d9","charcterization"
"w34.x_male_hypothalamus_inc.d9","w34.x_male_hypothalamus_inc.d9","w34.x","male","hypothalamus","inc.d9","male.hypothalamus.inc.d9","charcterization"
"w34.x_male_pituitary_inc.d9","w34.x_male_pituitary_inc.d9","w34.x","male","pituitary","inc.d9","male.pituitary.inc.d9","charcterization"
"x.blk.blk.ATLAS_male_gonad_control","x.blk.blk.ATLAS_male_gonad_control","x.blk.blk.ATLAS","male","gonad","control","male.gonad.control","charcterization"
"x.blk.blk.ATLAS_male_hypothalamus_control","x.blk.blk.ATLAS_male_hypothalamus_control","x.blk.blk.ATLAS","male","hypothalamus","control","male.hypothalamus.control","charcterization"
"x.blk.blk.ATLAS_male_pituitary_control","x.blk.blk.ATLAS_male_pituitary_control","x.blk.blk.ATLAS","male","pituitary","control","male.pituitary.control","charcterization"
"x.blk16_male_gonad_n9.NYNO","x.blk16_male_gonad_n9.NYNO","x.blk16","male","gonad","n9","male.gonad.n9","charcterization"
"x.blk16_male_hypothalamus_n9.NYNO","x.blk16_male_hypothalamus_n9.NYNO","x.blk16","male","hypothalamus","n9","male.hypothalamus.n9","charcterization"
"x.blk16_male_pituitary_n9","x.blk16_male_pituitary_n9","x.blk16","male","pituitary","n9","male.pituitary.n9","charcterization"
"x.blu.o.ATLAS_male_pituitary_control","x.blu.o.ATLAS_male_pituitary_control","x.blu.o.ATLAS","male","pituitary","control","male.pituitary.control","charcterization"
"x.blu101.w43_female_gonad_inc.d9","x.blu101.w43_female_gonad_inc.d9","x.blu101.w43","female","gonad","inc.d9","female.gonad.inc.d9","charcterization"
"x.blu101.w43_female_hypothalamus_inc.d9","x.blu101.w43_female_hypothalamus_inc.d9","x.blu101.w43","female","hypothalamus","inc.d9","female.hypothalamus.inc.d9","charcterization"
"x.blu101.w43_female_pituitary_inc.d9","x.blu101.w43_female_pituitary_inc.d9","x.blu101.w43","female","pituitary","inc.d9","female.pituitary.inc.d9","charcterization"
"x.blu102.w105_female_gonad_inc.d3","x.blu102.w105_female_gonad_inc.d3","x.blu102.w105","female","gonad","inc.d3","female.gonad.inc.d3","charcterization"
"x.blu102.w105_female_hypothalamus_inc.d3","x.blu102.w105_female_hypothalamus_inc.d3","x.blu102.w105","female","hypothalamus","inc.d3","female.hypothalamus.inc.d3","charcterization"
"x.blu102.w105_female_pituitary_inc.d3","x.blu102.w105_female_pituitary_inc.d3","x.blu102.w105","female","pituitary","inc.d3","female.pituitary.inc.d3","charcterization"
"x.blu106.o153_male_gonad_inc.d9.NYNO","x.blu106.o153_male_gonad_inc.d9.NYNO","x.blu106.o153","male","gonad","inc.d9","male.gonad.inc.d9","charcterization"
"x.blu106.o153_male_hypothalamus_inc.d9","x.blu106.o153_male_hypothalamus_inc.d9","x.blu106.o153","male","hypothalamus","inc.d9","male.hypothalamus.inc.d9","charcterization"
