"","comparisons","genes"
"126","FP+ inc.d9_inc.d17; FP- hatch_n5; MP- hatch_n5; MP+ inc.d17_hatch","ANAPC10"
"127","FP+ inc.d9_inc.d17; FP- hatch_n5; MP- n5_n9","KCTD14; NUDT6; PIM3; SPRY1"
"128","FP+ inc.d9_inc.d17; FP- hatch_n5; MP+ inc.d17_hatch","CETN1; MIA3; WIPI1"
"129","FP+ inc.d9_inc.d17; FP- hatch_n5; MP+ inc.d9_inc.d17","ABCC8; ABCC9; ADARB2; APITD1; ARHGAP19; AURKA; BIRC5; BUB1B; C1H12ORF5; CALN1; CANX; CCNA2; CDC6; CDCA3; CDT1; CENPI; CENPK; CENPM; CENPN; CEP55; CTBP1; DDRGK1; DEPDC1; DEPDC1B; DLGAP5; DOK5; DUS2; ECT2; EIF2AK1; EME1; EXT2; F13A1; FAM19A1; FAM46A; FANCC; FOSL2; GABRE; GPR123; GXYLT2; HELLS; HMGB2; HOOK3; INCENP; KIAA1524; KIF11; KIF15; KIF20A; KIF4A; LAPTM4B; LMNB1; LOC107054798; LOC107057175; LOC428479; MCM10; MFSD2A; MFSD4; MLN; MXD3; MYBL1; NASP; NCAPH; PAPSS1; PDE10A; PIGB; PLK1; POU3F3; PRL; PROCR; PTTG1; QRSL1; RASSF5; RHOBTB3; SGOL1; SKA3; SLC16A1; SLC17A9; SMC2; SPC25; STC1; STMN1; STT3B; TBC1D30; TFPI2; TK1; TM2D3; TMEM52B; TMOD3; UBR7; USP16; USP35"
"130","FP+ inc.d9_inc.d17; FP- hatch_n5; MP+ inc.d9_inc.d17; MP- hatch_n5","ANKRD12; C1H12ORF23; CKS2; CREB3L1; DCK; ERP29; HMGN5; HOMER2; IER3IP1; ITGB1BP3; IWS1; LBH; LOC101750767; LPPR5; LYSMD2; METTL21A; NT5C3A; NUS1; PAM; PSPH; QDPR; RFC5; RPN2; SEL1L; SRSF10; TACC3; TMPO; TRAM1; TRIP11"
"131","FP+ inc.d9_inc.d17; FP- hatch_n5; MP+ inc.d9_inc.d17; MP- hatch_n5; MP- n5_n9","CREM"
"132","FP+ inc.d9_inc.d17; FP- hatch_n5; MP+ inc.d9_inc.d17; MP- hatch_n5; MP+ inc.d17_hatch","ERLEC1"
"133","FP+ inc.d9_inc.d17; FP- hatch_n5; MP+ inc.d9_inc.d17; MP- n5_n9","BRCA1; BUB1; CCNB3; CDC20; CDC45; CDCA7; CDK1; CKAP2; CKS1B; DIAPH3; DUSP10; E2F1; FAM46D; FGF6; HMMR; KNSTRN; KNTC1; KPNA2; LOC107051182; LOC423793; MAD2L1; MCM2; MKI67; MYC; NDC80; NUF2; PBK; RACGAP1; RRM2; SHCBP1; SKA1; SLBP; UBE2C"
"134","FP+ inc.d9_inc.d17; FP- hatch_n5; MP+ inc.d9_inc.d17; MP+ inc.d17_hatch","NUCB2"
"135","FP+ inc.d9_inc.d17; FP- hatch_n5; MP+ inc.d9_inc.d17; MP+ inc.d17_hatch; MP- n5_n9","OLFM1"
"136","FP+ inc.d9_inc.d17; MP- hatch_n5","ATG3; ATG5; CCT5; CTD-2410N18.5; DCUN1D2; DTD1; EIF3J; ESF1; FAM133B; FAM73A; FARSB; GPATCH11; GTF2A2; H2AFV; LGMN; LLPH; LTA4H; MPHOSPH10; NSMCE2; RNPS1; SEC14L5; SEC62; SUMO3; TMCO1; TPRKB; TUBD1; VAPB; YIPF4; ZFAND5"
"137","FP+ inc.d9_inc.d17; MP- inc.d17_hatch","LOC107050953"
"138","FP+ inc.d9_inc.d17; MP- inc.d9_inc.d17","OGFOD3"
"139","FP+ inc.d9_inc.d17; MP- n5_n9","DUSP5; SIK1"
"140","FP+ inc.d9_inc.d17; MP+ inc.d17_hatch","SEPP1; SMNDC1"
"141","FP+ inc.d9_inc.d17; MP+ inc.d9_inc.d17","AKAP9; ARAP2; ARHGAP11A; ASPM; ATL2; ATP13A3; BARD1; BEND3; C4H4ORF21; C9H3ORF55; CABLES2; CDC7; CENPA; CENPE; CERK; CLSPN; CLVS2; COL20A1; COL9A2; CXADR; DPP10; DTL; E2F7; EIF3A; EIF3E; ELMOD2; ELOVL4; ERI2; EXO1; FAM83D; FAM83G; FANCD2; FBXO5; FHOD3; FMNL2; FOXM1; FXYD2; G2E3; GAS2L3; GCLC; GNG4; GOLGA3; GRIK2; GRIP1; GRXCR1; HJURP; HNRNPA2B1; HOOK1; KIF18B; LETM1; LOC100859557; LOC101748788; LOC101749531; LOC101749834; LOC107049324; LOC422224; LYPLA1; MASTL; MCM8; MELK; MIS12; NAALADL2; NCAPG; NCS1; NEK2; NISCH; NUDT15; ORC1; OTUD7A; PASK; PAX7; PDE8A; PDE8B; PLEKHG1; PRC1; PROS1; RAB3GAP2; RASSF3; RCAN2; RP11-145E5.5; SFPQ; SKIL; SLC13A3; SLC38A2; SLITRK6; SMPD3; SOSTDC1; SUB1L1; SV2B; SYNPR; TBCE; TGS1; THADA; THOC2; TNKS2; TNPO1; TRA2B; TRIM59; UHRF2; VEPH1"
"142","FP+ inc.d9_inc.d17; MP+ inc.d9_inc.d17; MP- hatch_n5","IFNGR1; MSTN; TPT1"
"143","FP+ inc.d9_inc.d17; MP+ inc.d9_inc.d17; MP- hatch_n5; MP+ inc.d17_hatch","FTL"
"144","FP+ inc.d9_inc.d17; MP+ inc.d9_inc.d17; MP- n5_n9","CASC5; CENPF; DNAJC12; ESCO2"
"145","FP+ lay_inc.d3; FP- hatch_n5","AC024592.12; AP000304.12; ATP5G1; C26H6ORF125; CFAP20; CNPY2; COPZ1; COQ9; COX5A; DNTTIP1; DPH6; EMC8; ENO1; GAPDH; HIGD2A; HTRA3; IMP3; KRTCAP2; LAMTOR2; LOC107050492; ME1; MOCS3; MRPL16; MRPL21; MRPL39; NDUFA8; NDUFS3; PBDC1; PDCL3; PHB2; POLR3D; PSMA4; PSMB7; PSMC6; REXO2; RPL10A; RPL3; RPL37; RPL39; RPL6; RPL7L1; RPS27L; RPS29; S100A11; SELM; STK16; TBL2; UMPS; UQCRFS1; WSB2; YARS; YWHAQ"
"146","FP+ lay_inc.d3; FP- hatch_n5; MP- hatch_n5","COX7C; LOC107051991; NDUFS4; OSER1; RPL22L1; RPL34; RPL5"
"147","FP+ lay_inc.d3; FP- inc.d9_inc.d17","ARHGDIG; CLEC3B; NOG; TFPT; WRNIP1"
"148","FP+ lay_inc.d3; FP- inc.d9_inc.d17; MP- inc.d9_inc.d17","MLST8"
"149","FP+ lay_inc.d3; FP+ hatch_n5","LOC429032"
"150","FP+ lay_inc.d3; FP+ inc.d9_inc.d17","ADH5; AHCY; ATP5J; BUD31; C14ORF2; CHRNB4; EDEM2; EFR3A; FCF1; FKBP4; GADL1; HMGN1; LOC107057057; LOC424401; LRRC70; LSM3; MRPS33; NDUFB10; PACRG; PGM2; POLR3F; PRADC1; PSMC1; PSMC2; RGCC; RP11-234B24.6; RPL22; RPL31; RPL7; RPL9; RPLP0; RPS24; RPS7; SOD1; TXNL4B; UQCR10"
"151","FP+ lay_inc.d3; FP+ inc.d9_inc.d17; FP- hatch_n5","ACTR10; ALDH7A1; ATOX1; ATP5C1; ATP5H; C7ORF50; CCDC58; CHCHD3; CLAPS2; COPE; CYP20A1; DCXR; EIF2B3; EIF3D; ETFA; GLRX3; GMPPB; LOC418811; LSM1; MRPL48; MRPS26; MRPS5; NDUFA10; NDUFC2; NIP7; NOP16; NUP37; PDHA1; PEX10; PHB; PRELID1; PSMB2; PSMB3; RARS; RHOA; RPS13; RRP15; SAMM50; SNRPF; SUMF2; TMEM208; TMEM258; TMPRSS13; TPI1; TRIAP1; TSR3; TTC19; UFC1; UQCRQ"
"152","FP+ lay_inc.d3; FP+ inc.d9_inc.d17; FP- hatch_n5; MP- hatch_n5","AC005943.2; AGR2; AIMP2; ARL1; ATP5G3; BZW1; C1H11ORF73; C5H14ORF166; COX4I1; CTC-487M23.8; EIF2S2; EMC3; ERH; GCSH; MCFD2; MDH1; MDH2; MPC2; MRPL13; MRPL23; MSANTD4; NDUFB9; PARK7; PIGY; POLR2L; POMP; PPA1; PRDX4; PSMA1; PSMA2; PSMA6; RER1; RFC2; RPL11; RPL23A; RPL30; RPL32; RPL35; RPL7A; RPLP2; RPS12; RPS20; RPS21; RPS8; SEC11C; SEC61G; SELK; SLC12A4; SNRPD3; SNX3; SPCS1; TUSC3; UFD1L"
"153","FP+ lay_inc.d3; FP+ inc.d9_inc.d17; FP- hatch_n5; MP- hatch_n5; MP+ inc.d17_hatch","VIMP"
"154","FP+ lay_inc.d3; FP+ inc.d9_inc.d17; FP- hatch_n5; MP+ inc.d9_inc.d17","YBX1"
"155","FP+ lay_inc.d3; FP+ inc.d9_inc.d17; FP- hatch_n5; MP+ inc.d9_inc.d17; MP- hatch_n5","MRPL33"
"156","FP+ lay_inc.d3; FP+ inc.d9_inc.d17; MP- hatch_n5","AIMP1; BUB3; ENY2; LZTFL1; MED30; PDCD5; RPL14"
"157","FP+ lay_inc.d3; FP+ inc.d9_inc.d17; MP+ inc.d9_inc.d17","POU3F2; UMOD"
"158","FP+ lay_inc.d3; MP- hatch_n5","HINT1; MRPL28; RPS3A; RPS4X; SLC25A17; TOMM7"
"159","FP+ lay_inc.d3; MP- hatch_n5; MP+ n5_n9","C1QTNF4"
"160","FP+ lay_inc.d3; MP- inc.d9_inc.d17","EGFL7; NECAP2"
"161","FP+ lay_inc.d3; MP- n5_n9","RGS1"
"162","FP+ lay_inc.d3; MP+ hatch_n5","AARS2"
"163","FP+ lay_inc.d3; MP+ inc.d9_inc.d17","LOC107052389; PJA2"
"164","FP+ lay_inc.d3; MP+ lay_inc.d3","EDC3"
"165","MP- inc.d17_hatch; MP+ inc.d9_inc.d17","APOH; CNP; FLRT2; LOC769726; NINJ2; PLLP; SEPP1L; SHANK3; SOX10; TMEM52; TMEM88B"
"166","MP- lay_inc.d3; MP- hatch_n5","PDCD2L"
"167","MP- lay_inc.d3; MP+ inc.d3_inc.d9","PNOC"
"168","MP- lay_inc.d3; MP+ inc.d3_inc.d9; MP- inc.d9_inc.d17","C11H19ORF40"
"169","MP+ hatch_n5; MP- n5_n9","CEBPD; IFIT5"
"170","FG- bldg_lay; FG- inc.d9_inc.d17","DMA"
"171","FG- bldg_lay; FG- lay_inc.d3","IL13RA2; SLC31A1"
"172","FG- bldg_lay; FG- lay_inc.d3; FG+ n5_n9","CA8; NRG2"
"173","FG- bldg_lay; FG- n5_n9","AQP8; CHGB; CHRNA3"
"174","FG- bldg_lay; FG+ inc.d17_hatch","LOC101749216"
"175","FG- bldg_lay; FG+ inc.d3_inc.d9","PI15"
"176","FG- bldg_lay; FG+ inc.d9_inc.d17","LOC107049309; PRPS2"
"177","FG- bldg_lay; FG+ lay_inc.d3","ADH5; ALKBH1; ANAPC15; ANOS1; AP000304.12; ARF1; ATP5C1; ATP5G3; ATP5H; BOLA3; BUD31; C11ORF31; C1QTNF2; C1QTNF5; CCDC58; CDC23; CHCHD2; CHCHD3; CHMP1A; CKS1B; CLAPS2; COMMD4; COX4I1; CTC-487M23.8; DBI; DCTN6; DDX1; DPM1; EIF3M; ERH; EXOSC8; GCGR; H2AFV; HBAA; HBG2; HINT1; HMGN5; HSBP1; IMMP2L; IMPA1; LAMTOR2; LAPTM4A; LOC101747652; LOC107054816; LOC417113; LOC422214; MDH1; MDK; MGST3; MRM1; MRPL33; MSANTD4; MXD3; NAP1L1; NDUFA12; NDUFA2; NDUFA4; NDUFA8; NDUFB10; NDUFB3; NDUFS5; NECAB2; NHP2; NIP7; NLE1; NOP2; NPM1; NUP37; PCP4L1; PEBP1; PFDN1; PFDN2; PKDCCa; PKIB; POLR2E; PPIH; PRDX3; PRELID1; PSMA1; PSMB1; PSMC6; RAN; RPL10A; RPL18A; RPL24; RPL35; RPL9; RPLP0; RPLP2; RPS11; RPS21; RPS25; RPS8; RRP15; SAP18; SELM; SMARCAL1; SNRPD2; SNRPE; SNRPG; SPCS2; TFDP1; THOC3; TMED11; TMEM258; TMIE; TNNI1; TOMM22; TPM4; TRIAP1; TXN2; TXNL4A; UFC1; UQCR10; UQCRH; VDAC2; VTI1A"
"178","FG- bldg_lay; FG+ lay_inc.d3; FG- inc.d9_inc.d17","ANP32A; RGS7"
"179","FG- bldg_lay; FG+ lay_inc.d3; FG- inc.d9_inc.d17; MG- bldg_lay; MG+ lay_inc.d3","ANXA5"
"180","FG- bldg_lay; FG+ lay_inc.d3; FG- n5_n9","FDX1L"
"181","FG- bldg_lay; FG+ lay_inc.d3; MG- bldg_lay","DAD1; LOC107050492; MAGOH2; MRPL21; NDUFA1; PSMB7; RPL27; RPS28; RPS29"
"182","FG- bldg_lay; FG+ lay_inc.d3; MG- bldg_lay; MG+ lay_inc.d3","EIF3I; MRP63; PDAP1; RPL11; RPL22; RPL30; RPL31; RPL34; RPL35A; RPL37; RPL38; RPL39; RPL7; RPL7A; RPS13; RPS14; RPS15A; RPS16; RPS17; RPS27L; RPS3; RPS3A; TIMM17A"
"183","FG- bldg_lay; FG+ lay_inc.d3; MG+ lay_inc.d3","ALDH7A1; CWC15; PSMB2; RPL14; RPRD1A; RPS12; RPS7; SEC13; SNRPB2"
"184","FG- bldg_lay; FG+ n5_n9","ACO2; ATP5G1; CD3D; DEPDC1B; ENTPD7; GALE; HYOU1; KLHDC8A; LOC101748706; LOC770126; MANF; MGAT4C; MYCN; NWD2; OPRM1; PDIA4; PGAM1; SERHL2; SLC10A4; SLC35B1; SLC6A8; TMED3"
"185","FG- bldg_lay; FG+ n5_n9; MG- bldg_lay","SEC61B; TSTA3"
"186","FG- bldg_lay; FG+ n5_n9; MG- bldg_lay; MG+ lay_inc.d3","UQCRQ"
"187","FG- bldg_lay; MG- bldg_lay","LOC107050681; PRDX6; RPL29; RPL32"
"188","FG- bldg_lay; MG- bldg_lay; MG+ lay_inc.d3","SDF2L1"
"189","FG- bldg_lay; MG+ lay_inc.d3","DYNLT1; PGD"
"190","FG- inc.d17_hatch; FG+ n5_n9","IQCG"
"191","FG- inc.d3_inc.d9; FG+ lay_inc.d3","AVPR1A; CALB2; CTSL2; EGR1; GPR139; NUTF2; PPT1; PRSS12"
"192","FG- inc.d9_inc.d17; FG+ n5_n9","AK8; C10H15ORF26; C17H9ORF171; C1H21ORF59; CCDC169; CDKL1; CFAP57; CFAP99; DNAAF2; DNAH9; DNAI1; DYNLRB2; EFCAB1; FAM118B; FAM183A; GBGT1; GJB5; LMX1B; LRRC18; LRRC23; LRRC48; LRRC71; NPRL2; PIH1D3; RABL2B; RSPH1; RSPH9; SLC43A3; SLC9A3R1; STYXL1; TEKT2; TEKT4; TTC18; TTC25; TTLL10"
"193","FG- inc.d9_inc.d17; MG+ lay_inc.d3","C8H1ORF173"
"194","FG- lay_inc.d3; FG- inc.d3_inc.d9; FG+ n5_n9","LOC107049904"
"195","FG- lay_inc.d3; FG- inc.d9_inc.d17","ASB14; C3H20ORF26; C3ORF48; CCDC108; CCDC13; CCDC148; CROCC; DIRC2; DNAH5; FAM179B; FOXJ1; HYDIN; KIAA0556; KIF27; LOC100858131; LOC100859655; LOC107052722; LOC107052731; LOC395991; LOC769510; LRGUK; MYO7A; NGEF; PCNT; PCNXL4; RGS12; RHPN1; SLC45A4; SPAG6; THBS4; TP73; TRAF5; USP2"
"196","FG- lay_inc.d3; FG- inc.d9_inc.d17; FG+ n5_n9","SLC44A5"
"197","FG- lay_inc.d3; FG+ inc.d3_inc.d9","GMNC"
"198","FG- lay_inc.d3; FG+ inc.d9_inc.d17; FG+ n5_n9","LOC418356"
"199","FG- lay_inc.d3; FG+ inc.d9_inc.d17; MG- lay_inc.d3","ACOX1"
"200","FG- lay_inc.d3; FG+ n5_n9","A2ML1; ABCB9; ATP2A3; C2CD4C; CLCN2; CPNE7; FAM107A; FICD; FUT4; HSDL1; LOC100858647; LOC101749151; LOC107049603; METTL7A; NIPAL3; OCX36; OVALX; OvoDA1; PGM3; PIGQ; PPARGC1B; RAPGEFL1; RBP; RIMBP2; SBF1; SERPINB6; SHANK3; SLC5A9; SLMO1; SPATA18; SPINK7; STARD10; STIM1; SULF2; TIPARP; TMC5; TNFAIP6; TUB; ZBTB7B"
"201","FG- lay_inc.d3; MG- inc.d3_inc.d9","ITPKA"
"202","FG- lay_inc.d3; MG- lay_inc.d3","AGO1; ANKS1A; EPB41L1; GATAD2A; HIF1A; LMTK2; LOC107050579; LOC107051408; MAGI3; MED1; MED12; NPAT; PRKDC; PRPF8; RNF169; SCN8A; TANC2; WHSC1"
"203","FG- lay_inc.d3; MG+ bldg_lay","EPB41L5"
"204","FG- lay_inc.d3; MG+ bldg_lay; MG- lay_inc.d3","CHD9; NOD1; UGT8"
"205","FG+ bldg_lay; FG- inc.d3_inc.d9","ARRDC2; MT4; PM20D2; SQSTM1; TXNIP; UBE2H"
"206","FG+ bldg_lay; FG- inc.d3_inc.d9; FG+ lay_inc.d3","OSTN"
"207","FG+ bldg_lay; FG- lay_inc.d3","ANKRD50; AOC1; ATF3; BMF; CA4; CAPN8; CAT; CBS; CFLAR; CREBRF; DOCK3; DUSP16; EDNRB; EPAS1; ERBB3; ETNPPL; FAM126B; FAM83C; FILIP1L; FNBP1L; FOXC1; GFPT1; GLUL; GNA14; GPATCH8; GUCY1A2; HEPH; IL1R1; IQSEC1; IVNS1ABP; KAT6A; KIAA0319L; KIAA1671; KLF15; LOC419409; LOC422320; LOC769000; LOXL2; MOCOS; MRVI1; MUC; MYO1C; NBEAL1; NEB; NEU4; NR1D1; NR1D2; NTNG2; OTOGL; OVSTL; PITPNA; PLEKHH1; PPP2R3A; RAB43; RANBP10; RAVER2; SERPINB2; SGK1; SLC14A2; SLC5A8; SLMAP; SOX2; SPTLC2; SSFA2; ST6GALNAC1; ST6GALNAC2; STON2; TBC1D9; TMEM131; TRAPPC10; TRPC4AP; UBAP2L; UVRAG; WIPI1; ZER1"
"208","FG+ bldg_lay; FG- lay_inc.d3; FG- inc.d17_hatch; FG+ inc.d9_inc.d17; FG+ hatch_n5","LOC107053414"
"209","FG+ bldg_lay; FG- lay_inc.d3; FG- inc.d3_inc.d9; FG+ n5_n9","COL10A1"
"210","FG+ bldg_lay; FG- lay_inc.d3; FG+ inc.d9_inc.d17","GAL3ST2"
"211","FG+ bldg_lay; FG- lay_inc.d3; FG+ n5_n9","CALB1"
"212","FG+ bldg_lay; FG- lay_inc.d3; MG+ bldg_lay","ARRDC4"
"213","FG+ bldg_lay; FG- n5_n9","CBX7; OLFM4"
"214","FG+ bldg_lay; FG+ lay_inc.d3","C7; C8H1ORF21; CEMIP; KCNK2; LOC101751203; SEMA3A"
"215","FG+ inc.d9_inc.d17; FG- n5_n9","EPHA4"
"216","FG+ lay_inc.d3; FG+ inc.d9_inc.d17","CCNDBP1; EGFL7; FAM19A5; LOC101751171"
"217","FG+ lay_inc.d3; MG- bldg_lay","CLNS1A; NDUFC2; PAM16; SYF2"
"218","FG+ lay_inc.d3; MG- bldg_lay; MG+ lay_inc.d3","MRPL27; RPL21; RPL36A"
"219","FG+ lay_inc.d3; MG- inc.d3_inc.d9","DAPK2"
"220","FG+ lay_inc.d3; MG+ inc.d3_inc.d9; MG- inc.d9_inc.d17","SHROOM2"
"221","FG+ lay_inc.d3; MG+ lay_inc.d3","ATP2B4; ATP6V1G1; DCK; EIF4H; ESD; LSM8; NCBP2; NOP16; PSMA2; RP11-234B24.6; RPL12; TAF7; TMA16; XRCC6BP1"
"222","MG- bldg_lay; MG+ lay_inc.d3","C28H19ORF10; EIF3H; GLYR1"
