"","bird","sex","tissue","treatment","group"
"x.r33.w183_female_gonad_inc.d3",158,1,1,5,5
"x.r33.w183_female_hypothalamus_inc.d3",158,1,2,5,14
"x.r33.w183_female_pituitary_inc.d3",158,1,3,5,23
"x.r39.g10_female_gonad_bldg",159,1,1,1,1
"x.r39.g10_female_hypothalamus_bldg",159,1,2,1,10
"x.r39.g10_female_pituitary_bldg",159,1,3,1,19
"x.r44.w95_female_gonad_hatch",160,1,1,3,3
"x.r44.w95_female_hypothalamus_hatch",160,1,2,3,12
"x.r44.w95_female_pituitary_hatch",160,1,3,3,21
"x.r48.y139_female_gonad_inc.d17",161,1,1,4,4
"x.r48.y139_female_hypothalamus_inc.d17",161,1,2,4,13
"x.r48.y139_female_pituitary_inc.d17.NYNO",161,1,3,4,22
"x.r50.w97_female_gonad_n5",162,1,1,8,8
"x.r50.w97_female_hypothalamus_n5",162,1,2,8,17
"x.r50.w97_female_pituitary_n5",162,1,3,8,26
"x.r64.g140_male_hypothalamus_inc.d3",163,2,2,5,41
"x.r64.g140_male_pituitary_inc.d3",163,2,3,5,50
"x.r67.blu35_male_gonad_bldg",164,2,1,1,28
"x.r67.blu35_male_hypothalamus_bldg",164,2,2,1,37
"x.r67.blu35_male_pituitary_bldg.NYNO",164,2,3,1,46
"x.w178_female_gonad_n9",165,1,1,9,9
"x.w178_female_hypothalamus_n9",165,1,2,9,18
"x.w178_female_pituitary_n9",165,1,3,9,27
"x.w192.o157_male_gonad_inc.d9",166,2,1,6,33
"x.w192.o157_male_hypothalamus_inc.d9",166,2,2,6,42
"x.w192.o157_male_pituitary_inc.d9",166,2,3,6,51
"x.w51_female_gonad_lay",167,1,1,7,7
"x.w51_female_hypothalamus_lay",167,1,2,7,16
"x.w51_female_pituitary_lay",167,1,3,7,25
"x.w6_female_hypothalamus_n9",168,1,2,9,18
"x.w6_female_pituitary_n9",168,1,3,9,27
"x.y.s.ATLAS_male_gonad_control",169,2,1,2,29
"x.y.s.ATLAS_male_pituitary_control",169,2,3,2,47
"x.y109_female_gonad_inc.d9",170,1,1,6,6
"x.y109_female_hypothalamus_inc.d9",170,1,2,6,15
"x.y109_female_pituitary_inc.d9",170,1,3,6,24
"x.y132.w76_male_gonad_inc.d17",171,2,1,4,31
"x.y132.w76_male_hypothalamus_inc.d17",171,2,2,4,40
"x.y132.w76_male_pituitary_inc.d17",171,2,3,4,49
"x.y138.w176_female_hypothalamus_n9",172,1,2,9,18
"x.y141.w116_male_gonad_inc.d9",173,2,1,6,33
"x.y141.w116_male_hypothalamus_inc.d9",173,2,2,6,42
"x.y141.w116_male_pituitary_inc.d9",173,2,3,6,51
"x.y90_female_gonad_hatch",175,1,1,3,3
"x.y90_female_hypothalamus_hatch",175,1,2,3,12
"x.y90_female_pituitary_hatch",175,1,3,3,21
"x.y93.g126_female_gonad_inc.d9",176,1,1,6,6
"x.y93.g126_female_hypothalamus_inc.d9",176,1,2,6,15
"x.y93.g126_female_pituitary_inc.d9",176,1,3,6,24
"x.y9_female_gonad_n9",174,1,1,9,9
"x.y9_female_hypothalamus_n9",174,1,2,9,18
"x.y9_female_pituitary_n9",174,1,3,9,27
"y.s156.o.r_female_gonad_lay",177,1,1,7,7
"y.s156.o.r_female_hypothalamus_lay",177,1,2,7,16
"y.s156.o.r_female_pituitary_lay",177,1,3,7,25
"y126.w92.x_female_gonad_inc.d17",178,1,1,4,4
"y126.w92.x_female_hypothalamus_inc.d17",178,1,2,4,13
"y126.w92.x_female_pituitary_inc.d17",178,1,3,4,22
"y128.g23.x_female_gonad_inc.d9",179,1,1,6,6
"y128.g23.x_female_pituitary_inc.d9",179,1,3,6,24
"y129.x_male_gonad_n9",180,2,1,9,36
"y129.x_male_hypothalamus_n9",180,2,2,9,45
"y129.x_male_pituitary_n9",180,2,3,9,54
"y13.x_female_gonad_inc.d3",181,1,1,5,5
"y13.x_female_hypothalamus_inc.d3",181,1,2,5,14
"y13.x_female_pituitary_inc.d3",181,1,3,5,23
"y130.o170.x_female_gonad_inc.d17",182,1,1,4,4
"y130.o170.x_female_hypothalamus_inc.d17",182,1,2,4,13
"y130.o170.x_female_pituitary_inc.d17",182,1,3,4,22
"y131.w185.x_male_gonad_n9",183,2,1,9,36
"y131.w185.x_male_hypothalamus_n9",183,2,2,9,45
"y131.w185.x_male_pituitary_n9",183,2,3,9,54
"y133.w77.r58_male_gonad_inc.d17",184,2,1,4,31
"y133.w77.r58_male_hypothalamus_inc.d17",184,2,2,4,40
"y133.w77.r58_male_pituitary_inc.d17",184,2,3,4,49
"y135.blu107.x_female_gonad_inc.d17",185,1,1,4,4
"y135.blu107.x_female_hypothalamus_inc.d17",185,1,2,4,13
"y135.blu107.x_female_pituitary_inc.d17.NYNO",185,1,3,4,22
"y136.x_female_gonad_inc.d17",186,1,1,4,4
"y136.x_female_hypothalamus_inc.d17",186,1,2,4,13
"y136.x_female_pituitary_inc.d17",186,1,3,4,22
"y140.w119.x_female_gonad_inc.d9",187,1,1,6,6
"y140.w119.x_female_hypothalamus_inc.d9",187,1,2,6,15
"y140.w119.x_female_pituitary_inc.d9",187,1,3,6,24
"y149.r52.x_male_gonad_inc.d3",188,2,1,5,32
"y149.r52.x_male_hypothalamus_inc.d3",188,2,2,5,41
"y149.r52.x_male_pituitary_inc.d3",188,2,3,5,50
"y15.x_female_gonad_hatch",189,1,1,3,3
"y15.x_female_hypothalamus_hatch",189,1,2,3,12
"y15.x_female_pituitary_hatch",189,1,3,3,21
"y6.o54_female_gonad_n5",190,1,1,8,8
"y6.o54_female_pituitary_n5",190,1,3,8,26
"y7.g58_female_gonad_hatch",191,1,1,3,3
"y7.g58_female_hypothalamus_hatch",191,1,2,3,12
"y7.g58_female_pituitary_hatch",191,1,3,3,21
"y94.g133.x_female_gonad_n5",192,1,1,8,8
"y94.g133.x_female_hypothalamus_n5.NYNO",192,1,2,8,17
"y94.g133.x_female_pituitary_n5",192,1,3,8,26
"y95.g131.x_male_gonad_inc.d9",193,2,1,6,33
"y95.g131.x_male_pituitary_inc.d9",193,2,3,6,51
"y97.x_female_gonad_n9",194,1,1,9,9
"y97.x_female_hypothalamus_n9",194,1,2,9,18
"y97.x_female_pituitary_n9",194,1,3,9,27
"y98.o50.x_male_gonad_inc.d3",195,2,1,5,32
"y98.o50.x_male_hypothalamus_inc.d3",195,2,2,5,41
"y98.o50.x_male_pituitary_inc.d3",195,2,3,5,50
